task,model_a,model_b,metric,a,b,diff,lo,hi,p,lo90,hi90,equivalent
alt,Cancer + molecular subtype only,Expression only,AUROC,0.8884881844927399,0.9487456897915283,-0.06011588054791053,-0.07445572743665187,-0.04559006358546069,0.0,-0.07235898895953942,-0.04759387554965039,False
alt,Cancer + molecular subtype only,Expression only,within_AUROC,0.7505323365530899,0.92447183098822,-0.17368815373276011,-0.20912666244560513,-0.13986090826008626,0.0,-0.20281240622841248,-0.14588136720630812,False
alt,Cancer + molecular subtype only,Expression only,AUPRC,0.6907675403100634,0.8512741122462284,-0.15717805912960847,-0.20705798295110242,-0.10705797423979685,0.0,-0.1984504217069368,-0.11401070989138326,False
alt,Expression excluding 1p/17p,Expression only,AUROC,0.9482521906931132,0.9487456897915283,-0.0005174780930688679,-0.00221441903134989,0.0012785106450286321,0.548,-0.0019496377843156332,0.0009442915440827912,True
alt,Expression excluding 1p/17p,Expression only,within_AUROC,0.9224279349461109,0.92447183098822,-0.0020786984706457007,-0.0064942541901700625,0.0018925225327837045,0.314,-0.005654474232727924,0.0012262868351263381,True
alt,Expression excluding 1p/17p,Expression only,AUPRC,0.8525388885423748,0.8512741122462284,0.0010782367152568245,-0.004546517002201825,0.007499042075393665,0.764,-0.003561294104653334,0.006217872674929191,True
alt,Expression excluding ATRX/DAXX cytobands,Expression only,AUROC,0.9488469203758185,0.9487456897915283,8.915251020214465e-05,-0.0005504413020783749,0.0006834646167473727,0.768,-0.0004175761601974415,0.0005820758596690734,True
alt,Expression excluding ATRX/DAXX cytobands,Expression only,within_AUROC,0.9244058988578292,0.92447183098822,-9.95169935072363e-05,-0.001327688605978966,0.0010041184793150911,0.88,-0.001118138913531197,0.0008698046079879559,True
alt,Expression excluding ATRX/DAXX cytobands,Expression only,AUPRC,0.8495073718170193,0.8512741122462284,-0.001611327456436448,-0.005498216167528836,0.0016576044655539019,0.374,-0.0048063215195041035,0.0010457468949339396,True
alt,CNV only,Expression only,AUROC,0.8852867672645598,0.9487456897915283,-0.06331711745911234,-0.0824766695137769,-0.044533864793900854,0.0,-0.07979975325045077,-0.0480661794944798,False
alt,CNV only,Expression only,within_AUROC,0.8425128009725517,0.92447183098822,-0.08212895939991142,-0.10939749702601076,-0.055873878143276455,0.0,-0.10486302065119742,-0.06033504917862129,False
alt,CNV only,Expression only,AUPRC,0.7067455754925032,0.8512741122462284,-0.14211517657020062,-0.19392074693653602,-0.0886854258290643,0.0,-0.18566356965856323,-0.09882616541287793,False
alt,"CNV only, label loci excluded",Expression only,AUROC,0.8851349213881244,0.9487456897915283,-0.06346599601404575,-0.08285565151371357,-0.04482774983391855,0.0,-0.07987219638733348,-0.04801872765809375,False
alt,"CNV only, label loci excluded",Expression only,within_AUROC,0.8424020282819029,0.92447183098822,-0.08223507263575094,-0.10962940713599763,-0.05584364194078246,0.0,-0.10487588873172363,-0.060187488001313245,False
alt,"CNV only, label loci excluded",Expression only,AUPRC,0.7063709084351059,0.8512741122462284,-0.14248181105954716,-0.1941362389864742,-0.08939376719070571,0.0,-0.18633306757857562,-0.09969382751211071,False
alt,Expression residualized for CNV,Expression only,AUROC,0.9508272436809971,0.9487456897915283,0.002074771440321407,6.912150833567613e-05,0.004036727721362848,0.046,0.00041061655752737685,0.003815443991015804,True
alt,Expression residualized for CNV,Expression only,within_AUROC,0.9281060205365677,0.92447183098822,0.0036383062908937175,-0.00043423998963993126,0.008020369758075727,0.088,0.00011472276852000925,0.0073269448225836585,True
alt,Expression residualized for CNV,Expression only,AUPRC,0.8563924922857103,0.8512741122462284,0.004895082733427179,-0.002243746622932213,0.012301282383879703,0.166,-0.0009135800924981452,0.010851096913440182,True
alt,Expression + CNV,Expression only,AUROC,0.933807851697194,0.9487456897915283,-0.015127019075638227,-0.025200721267913073,-0.0066106734997311385,0.0,-0.02294074847363269,-0.00773053683844231,False
alt,Expression + CNV,Expression only,within_AUROC,0.9108408584605739,0.92447183098822,-0.014048801897123219,-0.025062531447219538,-0.002647014275274695,0.008,-0.023493004136289075,-0.0046668157716396935,False
alt,Expression + CNV,Expression only,AUPRC,0.7942034550442687,0.8512741122462284,-0.054253351658864,-0.09639913510644298,-0.010411846497485396,0.006,-0.09008341476853482,-0.01904161150346072,False
