,fold0,fold1,fold2,fold3,fold4
TERC,-0.00015812776723589383,-0.0010436432637571213,-0.0010403530895333635,2.2204460492503132e-17,0.000924597481268985
DKC1,0.0019924098671727287,-0.00022137887413029578,-0.0013871374527111957,0.00012610340479197736,-0.0004463574047504526
NHP2,0.002340290955091762,0.017235926628716,0.013650693568726413,0.008480453972257319,0.010043041606886693
NOP10,0.001802656546489656,-0.0017077798861480087,0.0014186633039092512,0.006021437578814681,0.0037621552686115446
GAR1,0.0011068943706515455,-0.00034788108791905525,-0.0006620428751575646,-0.005453972257250905,0.0006376534353579544
NAF1,0.002277039848197382,0.0007273877292852671,0.000504413619167754,-0.0008196721311474863,-6.376534353573771e-05
WRAP53,0.0023086654016445827,0.00161290322580645,-0.004886506935687196,-0.00025220680958379924,0.006312769010043096
RUVBL1,0.0058191018342821366,0.003162555344718543,0.0024905422446406477,0.01588902900378315,0.006886657101865179
RUVBL2,0.007811511701454843,0.005850727387729316,0.0012295081967213628,0.0006620428751576757,0.0022955523672884225
PARN,-0.0010120177103098537,-0.002118912080961399,0.0004413619167717986,-0.0031210592686002014,-0.0003825920612146705
SHQ1,0.005344718532574367,-9.48766603415363e-05,-0.0009773013871373858,0.0029949558638083795,0.0027419097720389417
TERF1,0.015275142314990563,0.006925996204933571,0.004760403530895396,0.008511979823455284,0.006982305117168885
TERF2,0.004585705249841943,0.010657811511701466,0.001860025220680983,0.0023013871374527595,0.0027100271002710617
TINF2,0.004996837444655333,-0.007590132827324481,0.000378310214375821,0.008511979823455284,0.004591104734576778
TERF2IP,0.005439595192915925,0.008507273877292842,0.0008827238335435527,-0.0007881462799495198,0.006599713055954126
ACD,9.487666034160291e-05,0.0009487666034155628,-0.0006305170239595981,-0.00031525851197979906,0.000956480153036865
POT1,-6.325110689433532e-05,-0.0020240354206198406,0.00015762925598996613,-0.0006935687263555756,0.00012753068707165304
CTC1,-0.002941176470588158,-0.0004743833017077925,-9.457755359389974e-05,0.0004413619167717986,-9.564801530361766e-05
STN1,0.00793801391524358,0.022454142947501587,0.010214375788146324,0.0055485498108449605,0.012115415271799846
TEN1,0.004965211891208155,0.002719797596457929,-0.000409836065573721,0.0036885245901639996,0.0022955523672884225
RTEL1,0.0010436432637571436,0.0035736875395319333,0.00031525851197988786,-0.0035308953341739668,0.0037621552686115667
WRN,0.0027197975964579958,0.0009803921568627416,0.0004728877679697874,-0.0007250945775535422,0.001626016260162677
BLM,0.015117014547754626,0.01302972802024036,0.012767969735182882,0.018221941992433856,0.005898294277060456
DCLRE1B,0.04155597722960156,0.07270714737507906,0.057976040353089585,0.02093316519546031,0.053690419257133803
PIF1,0.01489563567362433,0.006672991777356097,0.00895334174022704,0.0011979823455233961,0.004463574047505236
RECQL4,-0.00034788108791896646,3.1625553447200974e-05,3.152585119801099e-05,-0.0006305170239595981,0.0004782400765184658
ATRX,0.15148640101201777,0.15588235294117647,0.09252837326607824,0.11957755359394709,0.10738083851426757
DAXX,0.00411132194813415,0.005154965211891227,0.0038776796973518657,-0.003783102143757833,0.0014028375577874064
H3-3A,-0.0003162555344718099,6.325110689440195e-05,0.0006305170239597091,0.0007566204287516199,-0.0006057707635899412
SMARCAL1,0.0038266919671094747,2.2204460492503132e-17,-0.002395964691046615,0.0011349306431273965,0.0011796588554121358
FANCM,-0.0011385199240986133,0.005344718532574367,0.0014186633039092512,0.004949558638083285,0.0031245018332536787
SLX4,-0.0024035420619860303,0.004459203036053139,0.0027742749054225245,6.305170239602198e-05,0.00035070938944687936
MUS81,0.0003162555344719209,0.001834282099936746,-9.457755359387754e-05,-0.0011664564943253187,0.0024868483978957912
BRCA1,-3.162555344715656e-05,-9.48766603415363e-05,0.0007881462799496086,0.00145018915510724,-9.564801530366207e-05
BRCA2,0.001391524351676199,-0.0010436432637570769,-0.0008511979823454752,-0.0003783102143757322,0.0016578989319305571
RAD51,0.00037950664136627844,0.00932953826691969,0.0005989911727617425,-0.0005044136191676874,0.0031245018332536787
RAD52,-0.0005060088551549269,0.0021189120809614213,0.0012925598991173626,-0.0012925598991172294,0.00025506137414319505
POLD3,-0.00012650221378869287,0.012871600253004444,0.0006935687263556645,-0.001576292559899084,0.0
TOP3A,0.0022137887413030246,0.019259962049335888,0.014249684741488088,0.00822824716267343,0.008257611987884661
RMI1,0.003194180898165766,-0.00044275774826059157,-0.0011349306431272855,0.0028373266078184356,0.00035070938944690153
RMI2,0.00777988614800762,0.00449082858950034,0.007282471626733966,0.009741488020176603,0.00197672564960949
PML,0.019259962049335933,0.018247944339025945,0.010876418663303977,0.022856242118537252,0.01858759764068234
SP100,0.0012650221378874393,-0.0009487666034155628,3.1525851198033195e-05,0.002585119798234614,-9.564801530363987e-05
NBN,-0.003004427577482538,0.007874762808349155,0.0002206809583859215,0.0023013871374527374,0.003060736489717897
MRE11,-0.0002846299810246311,-0.0009487666034155185,-0.003436317780580045,0.0014186633039092733,-0.002837557787342515
RAD50,-0.0030993042378241187,0.003162555344718565,0.002931904161412402,-0.0031841109709961567,0.0023274350390563026
FANCD2,0.00018975332068318362,0.0028146742567994876,-9.457755359387754e-05,-0.0003783102143757322,0.0017216642754663614
SMC5,-0.001012017710309876,0.0060088551549652095,0.00551702395964695,-0.0001576292559898773,0.00363462458153998
SMC6,0.0,0.0012650221378874393,-0.0013556116015131848,-0.0011664564943252964,-0.0006376534353578434
NSMCE2,-0.00031625553447178767,-0.002719797596457907,6.305170239599978e-05,0.0021437578814628377,-0.0002550613741431285
MYC,0.0007906388361796912,0.013693864642631249,0.014029003783102189,0.007534678436317832,0.013454487486051358
MAX,0.003383934218848883,-0.0007273877292852448,0.0007566204287516199,0.0010088272383354858,0.0019448429778416098
GABPA,0.0018026565464895894,-0.00047438330170774813,0.00012610340479197736,0.0002522068095839325,6.376534353584873e-05
GABPB1,-0.0036685641998734477,0.007084123972169509,0.004287515762925675,0.0002206809583859215,9.564801530372868e-05
SP1,-0.0007590132827324014,-0.0009487666034155185,0.0014186633039092733,0.0010088272383354858,0.0004782400765184658
TNKS,0.016413662239089244,0.0185641998734978,0.006084489281210659,0.008543505674653252,0.0037621552686115667
TNKS2,0.00964579380139161,0.016856419987349814,0.03234552332912992,0.01604665825977305,0.01954407779371916
PINX1,-0.00015812776723587164,-0.0023719165085388737,-0.00028373266078181026,0.0010718789407314633,0.00031882671767899937
HNRNPA1,-0.0006957621758380439,-0.0008855154965211831,-0.0015447667087010951,0.002112232030264849,0.003475211222700514
G3BP1,-0.001549652118912026,0.004807084123972194,6.305170239599978e-05,-0.0033417402269860785,0.00012753068707160864
ZNF451,-0.005060088551549602,0.005186590765338406,0.0031841109709962677,0.0015762925598991728,0.001594133588394775
SENP3,0.005629348513599042,0.009139784946236596,0.0019546027742749273,-0.0015132408575031064,0.0029650884744141905
