,fold0,fold1,fold2,fold3,fold4
TERC,-0.00025300442757747454,-0.0006008855154965298,-0.0008196721311475308,-0.0009457755359395081,0.00025506137414315065
DKC1,0.0037950664136622513,-0.0017394054395952318,-0.0005989911727616537,0.0019230769230768941,0.0002231787023752263
NHP2,0.001992409867172684,0.012776723592662843,0.027080706179066882,0.017150063051702368,0.01052128168340507
NOP10,0.003447185325743196,-0.0012333965844402162,0.00025220680958386587,-0.0002206809583859215,0.0035708592380041537
GAR1,-0.00015812776723591603,0.0004743833017077703,-0.00047288776796972076,-0.006273644388398503,0.0010521281683405048
NAF1,0.01834282099936746,0.002245414294750181,-0.0031525851197981903,0.007030264817150034,0.004750518093416223
WRAP53,2.2204460492503132e-17,0.001865907653383947,-0.0044451450189154865,0.0019230769230768718,0.0048461661087198845
RUVBL1,0.009456040480708406,-0.0019607843137255275,0.006052963430012626,0.013524590163934392,0.0038896859556831085
RUVBL2,0.017235926628716,0.004554079696394697,0.0018915510718789496,0.0058638083228246705,0.006408417025346713
PARN,-0.001328273244781819,0.003099304237824163,0.001986128625472916,-0.004886506935687307,-0.00047824007651839915
SHQ1,0.017868437697659712,0.002371916508538896,0.002805800756620469,0.011223203026481698,0.00443169137573729
TERF1,0.048292220113852015,0.017077798861480066,0.02487389659520809,0.016330390920554837,0.024167065200063776
TERF2,0.024098671726755217,0.025268817204301054,0.010907944514501921,0.001355611601513207,0.0038896859556830864
TINF2,0.003099304237824141,-0.005376344086021523,0.0016708701134930948,0.0035308953341740114,0.00306073648971783
TERF2IP,0.005471220746363059,0.03364958886780518,0.008511979823455262,0.005517023959646883,0.022509166268133242
ACD,0.0014231499051233331,0.004301075268817201,0.0012295081967213406,0.002049180327868827,0.011605292523513455
POT1,-9.487666034158071e-05,-0.004554079696394697,-0.0009142496847414749,0.0007566204287515754,0.0025506137414315288
CTC1,-0.0008222643896268256,0.00031625553447183207,-0.0019861286254728937,-0.00047288776796976516,0.001179658855412069
STN1,0.010594560404807085,0.016413662239089154,0.012326607818411106,0.010498108448928112,0.01865136298421808
TEN1,0.007969639468690693,0.0024035420619860524,0.0010088272383354635,0.004886506935687218,0.004527339391040974
RTEL1,0.002340290955091695,0.0007590132827324459,-0.0014186633039092067,-0.002364438839848715,0.002869440459110484
WRN,0.019607843137254898,0.0005376344086021279,-0.0009457755359394415,-0.0018600252206810053,0.0034433285509325893
BLM,0.027545857052498412,0.019987349778621134,0.017276166456494345,0.031084489281210548,0.006599713055954082
DCLRE1B,0.08864642631246045,0.13456672991777355,0.11822194199243383,0.0733606557377049,0.1393591582974653
