task,model_a,model_b,metric,a,b,diff,lo,hi,p,lo90,hi90,equivalent
alt,"LR (signature, K=60)",LR (panel),AUROC,0.936604346588213,0.9086457245895416,0.02798927588497675,0.010848597007370942,0.0468575812217266,0.002,0.013071082850906347,0.043763563316567014,False
alt,"LR (signature, K=60)",LR (panel),within_AUROC,0.9108555649665356,0.8729689693220991,0.03786610357643479,0.010986685963188875,0.06716678538366536,0.008,0.01412109916966156,0.06303297232053925,False
alt,"LR (signature, K=60)",LR (panel),AUPRC,0.7824604541417295,0.7726765962639995,0.012164775523194166,-0.038941499940208256,0.06116797746969027,0.646,-0.030302123346701352,0.05415015531509904,False
alt,"LR (signature, K=60)",LR (whole transcriptome),AUROC,0.936604346588213,0.9498782069532757,-0.013309879472335577,-0.025360792129322116,-0.0014574040682041444,0.028,-0.023493404194742308,-0.0034133687640378082,False
alt,"LR (signature, K=60)",LR (whole transcriptome),within_AUROC,0.9108555649665356,0.9263128334721006,-0.015722243878588785,-0.036508345430556255,0.004979547729090904,0.15,-0.03258402956693187,0.0020620703462173626,False
alt,"LR (signature, K=60)",LR (whole transcriptome),AUPRC,0.7824604541417295,0.854912343958347,-0.06942963000901846,-0.11195476461301629,-0.027957727011117987,0.0,-0.1054917580988967,-0.032104564303978116,False
alt,LR (whole transcriptome),LR (panel),AUROC,0.9498782069532757,0.9086457245895416,0.04129915535731233,0.027481889215779227,0.05730299579260387,0.0,0.029264180190440064,0.054571193571857884,False
alt,LR (whole transcriptome),LR (panel),within_AUROC,0.9263128334721006,0.8729689693220991,0.053588347455023576,0.030151725184214835,0.07986180123371145,0.0,0.033198867882515234,0.07558341205248541,False
alt,LR (whole transcriptome),LR (panel),AUPRC,0.854912343958347,0.7726765962639995,0.08159440553221263,0.04180003370339366,0.12248041277619443,0.0,0.04869303424567099,0.11633437398385349,False
alt,"LR (signature, K=60)",RF (panel),AUROC,0.936604346588213,0.9178260732023663,0.0190197399639366,0.0038247761855050577,0.034356078580241,0.016,0.006560058207586017,0.03250545696118436,False
alt,"LR (signature, K=60)",RF (panel),within_AUROC,0.9108555649665356,0.885037007071111,0.025888000668057055,0.0005282288743701494,0.05262835281246911,0.05,0.005709073328677605,0.04880108141083836,False
alt,"LR (signature, K=60)",RF (panel),AUPRC,0.7824604541417295,0.7881852871761652,-0.004735305315317727,-0.05769949026086606,0.04765970228837774,0.862,-0.0489721052806936,0.038449875697275426,False
alt,"LR (signature, K=60)",GBM (panel),AUROC,0.936604346588213,0.9136692923349466,0.023104552212837304,0.007901047103856284,0.03942298566954549,0.004,0.010088576761254076,0.036749549207554244,False
alt,"LR (signature, K=60)",GBM (panel),within_AUROC,0.9108555649665356,0.8786056562999622,0.03220657643705766,0.005792875588993276,0.060191918773994296,0.012,0.010088867114016626,0.0551664646827548,False
alt,"LR (signature, K=60)",GBM (panel),AUPRC,0.7824604541417295,0.768628412862306,0.014044638994417822,-0.03956541680297446,0.06385206722804987,0.604,-0.030444040215911003,0.057828778311699025,False
alt,"LR (signature, K=60)",MLP tuned (panel),AUROC,0.936604346588213,0.9199519154724621,0.016772041378001326,-0.00010898105089995605,0.0326427509411281,0.054,0.0029739647591027823,0.029926291480813598,False
alt,"LR (signature, K=60)",MLP tuned (panel),within_AUROC,0.9108555649665356,0.8795414263706564,0.03147457750823272,0.003434200217445638,0.060791927006279306,0.026,0.0072704868941241285,0.05654776933996049,False
alt,"LR (signature, K=60)",MLP tuned (panel),AUPRC,0.7824604541417295,0.7897128423291978,-0.00442790441661327,-0.051865386619806386,0.04329693326609248,0.842,-0.04320473419674511,0.03390484882693404,False
alt,"LR (signature, K=60)",Elastic net (panel),AUROC,0.936604346588213,0.908266109898453,0.028407940273955268,0.010848755180158787,0.04762171396033025,0.0,0.01305241846192784,0.044432317864034704,False
alt,"LR (signature, K=60)",Elastic net (panel),within_AUROC,0.9108555649665356,0.8724545318228948,0.03831288960362726,0.009745688427355658,0.06909308005001111,0.004,0.013077302940345259,0.06377520943073842,False
alt,"LR (signature, K=60)",Elastic net (panel),AUPRC,0.7824604541417295,0.7725892178898358,0.012269794812979514,-0.03943384220175559,0.06204657958414897,0.654,-0.029973287469371418,0.05527665350679757,False
alt,"LR (signature, K=60)",Linear SVM (panel),AUROC,0.936604346588213,0.9076587263927114,0.0289392869570719,0.01214355762234663,0.04699218626427513,0.0,0.014594286798899143,0.044491158141153404,False
alt,"LR (signature, K=60)",Linear SVM (panel),within_AUROC,0.9108555649665356,0.872016588110472,0.03872930236009515,0.01087659134666212,0.06836723005580064,0.004,0.01508744544033631,0.063773029530973,False
alt,"LR (signature, K=60)",Linear SVM (panel),AUPRC,0.7824604541417295,0.7681871065813765,0.01673775769037618,-0.03400343732364414,0.06584061977913012,0.516,-0.026355745653634417,0.058558704430075506,False
alt,RF (panel),LR (panel),AUROC,0.9178260732023663,0.9086457245895416,0.008969535921040144,-0.0033092910695644074,0.022993578184809044,0.186,-0.0015703394388029367,0.021202745879598826,False
alt,RF (panel),LR (panel),within_AUROC,0.885037007071111,0.8729689693220991,0.011978102908377733,-0.007388707843221689,0.033152947120815894,0.268,-0.00515139629728884,0.029471897873620208,False
