,fold0,fold1,fold2,fold3,fold4
TERC,0.000791233236851796,-0.00027400477551173805,-3.3924400777674e-05,0.00016440403537181235,-7.71010023130625e-05
DKC1,0.0011653626906986236,-0.0005114755809553006,-0.0006628305998095385,0.0016066758002242,0.00039321511179644106
NHP2,-0.0007962890402820833,0.0014822353570543624,0.0015866181286778192,0.0020924149956408123,0.00356463634027242
NOP10,-4.550223087322891e-05,0.0016857817617202508,-0.002813115695254509,0.0018507908830489362,0.00027499357491644894
GAR1,0.0003008203041066082,-0.00029488132983646054,0.0016570764995237131,-0.0017885166272262776,-0.0004908763813929795
NAF1,0.001026328096363649,0.0009916363304237398,-0.004256207512950016,0.00015194918420724512,0.001490619378051905
WRAP53,0.004446579117003968,-0.0002531282211870378,-0.0011351626414060512,-0.0025009341138373608,7.453096890257527e-05
RUVBL1,0.01325126079098049,0.003076682193603997,0.004206625696428779,0.015284593349109499,0.014196864559239231
RUVBL2,0.002616378275212683,0.00045667462585303743,9.655406375173037e-05,-0.0011906837713289153,-0.00017990233873046435
PARN,-0.0009176283226107751,0.0014822353570543624,0.00022181338970002075,0.0014497446755511456,0.0039784117193523375
SHQ1,0.0014585992896596566,0.000746336817108384,-0.0013439281846531648,-0.00010711172001496295,0.0008943716268311252
TERF1,0.00010111606860727652,-0.00037577797784471567,-0.0009290066674495723,0.0010835720513139746,0.0011102544333075892
TERF2,-0.0029702845153380063,0.00124737412090139,-0.0007045837084589613,0.0016216216216216272,0.0018093035209457487
TINF2,0.0025607644374787243,0.000720241124202503,0.002220743466290842,-0.00048573919541659014,-0.0016473914160884285
TERF2IP,0.013324569940720754,0.0020798267245991653,0.0050651739930324124,0.00623240752273011,0.005546132099717283
ACD,-0.0020678236030182927,0.001158648765021386,-0.0007593846635613133,0.0014796363183460005,-0.0006810588537651041
POT1,0.004469330232440583,0.0024503855638627224,0.0034602888793204166,0.0005355586000747259,-0.0009894628630172208
CTC1,-0.0005156919498969347,0.006007228506934981,-0.00437885726960765,0.004937103001619136,0.002130557697250035
STN1,-0.00036654574870123027,0.004798997925392445,0.0061768505108231505,0.006635944700460828,0.007175533281932633
TEN1,0.003953638282543604,0.0005453999817330635,0.0010203415926200777,0.0020924149956408123,0.002613723978411686
RTEL1,-0.000798816941997238,0.003267180751816956,0.0019102047207108397,0.004404035371777315,0.0005011565150346842
