task,model_a,model_b,metric,a,b,diff,lo,hi,p,lo90,hi90,equivalent
alt_pan,"LR (signature, K=60)",LR (panel),AUROC,0.9479265200475062,0.9393286957252097,0.00865932836795492,-0.003643755694368456,0.0204418164209841,0.186,-0.0018154888873069374,0.018816856816111095,True
alt_pan,"LR (signature, K=60)",LR (panel),within_AUROC,0.9156746781100592,0.8676345298471839,0.04794623973143935,0.020537432457990137,0.07768120157105203,0.0,0.0249315666759916,0.07316031329802422,False
alt_pan,"LR (signature, K=60)",LR (panel),AUPRC,0.7201195666812679,0.6733673455696438,0.04818300104571441,0.0013155576343440144,0.09783398607565755,0.046,0.006610295079279754,0.09041013009521628,False
alt_pan,"LR (signature, K=60)",LR (whole transcriptome),AUROC,0.9479265200475062,0.9463352977357731,0.001546259398428855,-0.006087603266845548,0.009334116738460236,0.702,-0.0053033232322042935,0.00824406287658378,True
alt_pan,"LR (signature, K=60)",LR (whole transcriptome),within_AUROC,0.9156746781100592,0.9285009784405877,-0.013144109243360841,-0.030729811973547832,0.004599510716874083,0.134,-0.02814705272883855,0.0013111353966477428,False
alt_pan,"LR (signature, K=60)",LR (whole transcriptome),AUPRC,0.7201195666812679,0.7667425886679129,-0.04443740881772178,-0.0780948089424255,-0.007668486733722493,0.014,-0.07315064652007018,-0.01563301172374838,False
alt_pan,LR (whole transcriptome),LR (panel),AUROC,0.9463352977357731,0.9393286957252097,0.007113068969526066,-0.0025391442225109555,0.016796588321032483,0.148,-0.0009198053659068672,0.015316116516191062,True
alt_pan,LR (whole transcriptome),LR (panel),within_AUROC,0.9285009784405877,0.8676345298471839,0.06109034897480019,0.03536728241647547,0.08852679520001935,0.0,0.0399181002217581,0.08390725395604072,False
alt_pan,LR (whole transcriptome),LR (panel),AUPRC,0.7667425886679129,0.6733673455696438,0.09262040986343618,0.05381340839864146,0.13328318012176824,0.0,0.05822654818960387,0.12592394670911383,False
alt_pan,"LR (signature, K=60)",GBM (panel),AUROC,0.9479265200475062,0.945138424049735,0.002670292796172461,-0.009112602921150325,0.013916434965509912,0.64,-0.006848119955730525,0.012201479370701526,True
alt_pan,"LR (signature, K=60)",GBM (panel),within_AUROC,0.9156746781100592,0.8638266284774188,0.051883709659512195,0.023346808289332038,0.0808023196265381,0.0,0.02931271501864117,0.07552250226511115,False
alt_pan,"LR (signature, K=60)",GBM (panel),AUPRC,0.7201195666812679,0.6892104810102357,0.03241832507239983,-0.004114326494606832,0.06938283416810712,0.084,0.0019460273579618218,0.0632891532746003,False
alt_pan,"LR (signature, K=60)",Elastic net (panel),AUROC,0.9479265200475062,0.9396451989079104,0.008344904478007894,-0.003938083168637338,0.020387363021468433,0.194,-0.001932436301173712,0.018263462780403538,True
alt_pan,"LR (signature, K=60)",Elastic net (panel),within_AUROC,0.9156746781100592,0.8710309800786948,0.04471306862279849,0.017373383690225654,0.07526396829645482,0.0,0.02155475051427133,0.07031879538499014,False
alt_pan,"LR (signature, K=60)",Elastic net (panel),AUPRC,0.7201195666812679,0.6769064432452884,0.044701009497861904,-0.004897872775370032,0.09532416116032684,0.084,0.0017920786697618709,0.08921773032386192,False
alt_pan,"LR (signature, K=60)",Linear SVM (panel),AUROC,0.9479265200475062,0.9404359447235898,0.007539783886710297,-0.004377948332135751,0.018910040884221845,0.232,-0.0024926162060895708,0.017229321920098847,True
alt_pan,"LR (signature, K=60)",Linear SVM (panel),within_AUROC,0.9156746781100592,0.8711391452324662,0.04456771500842844,0.01779433759847833,0.07430012560263073,0.002,0.022459606763761613,0.06886100487349753,False
alt_pan,"LR (signature, K=60)",Linear SVM (panel),AUPRC,0.7201195666812679,0.6669091992376048,0.05422076123290411,0.0040983588453641145,0.106846768172419,0.032,0.011086713112807109,0.09926838157079049,False
alt_pan,GBM (panel),LR (panel),AUROC,0.945138424049735,0.9393286957252097,0.005989035571782461,-0.0004862395375980987,0.01275245353984227,0.072,0.0005926240418480944,0.011619789540747749,True
alt_pan,GBM (panel),LR (panel),within_AUROC,0.8638266284774188,0.8676345298471839,-0.003937469928072843,-0.03144171425339371,0.023462303226617857,0.776,-0.0272216706300196,0.01919636628264364,False
alt_pan,GBM (panel),LR (panel),AUPRC,0.6892104810102357,0.6733673455696438,0.015764675973314584,-0.021551935735768246,0.0546239483862223,0.45,-0.014163613222878223,0.05009898186876865,False
alt_pan,Elastic net (panel),LR (panel),AUROC,0.9396451989079104,0.9393286957252097,0.0003144238899470276,-0.0015817861124753807,0.0020856176959080652,0.73,-0.0011829434488707157,0.0017994844787966589,True
alt_pan,Elastic net (panel),LR (panel),within_AUROC,0.8710309800786948,0.8676345298471839,0.0032331711086408545,-0.0010840307468288567,0.0077365964229989224,0.146,-0.00042275356335028097,0.007109472187886727,True
alt_pan,Elastic net (panel),LR (panel),AUPRC,0.6769064432452884,0.6733673455696438,0.0034819915478525045,-0.005681779539009088,0.011665801026250013,0.436,-0.004029649401655256,0.010380939385109676,True
alt_pan,Linear SVM (panel),LR (panel),AUROC,0.9404359447235898,0.9393286957252097,0.0011195444812446243,-0.0005401935995682366,0.002970751111218059,0.21,-0.00029145948426373414,0.002709456736114701,True
alt_pan,Linear SVM (panel),LR (panel),within_AUROC,0.8711391452324662,0.8676345298471839,0.0033785247230109033,-0.0014401147010226515,0.008385911588414093,0.16,-0.0005987838264874367,0.007420008259207011,True
alt_pan,Linear SVM (panel),LR (panel),AUPRC,0.6669091992376048,0.6733673455696438,-0.006037760187189699,-0.01645442948776386,0.003076656896055792,0.216,-0.014011525378205537,0.0019049479670580401,True
