method,k,AUROC,within_AUROC
l1,10,0.9452925785125067,0.9059867317686275
l1,20,0.9469042864671331,0.907858920390522
l1,30,0.9490767888959621,0.9054016322942539
l1,60,0.9479265200475062,0.9156746781100592
l1,100,0.948136497887162,0.9207014146565898
l1,200,0.9504390841483632,0.9213906523418623
univariate,10,0.9460592536977865,0.9034980398614156
univariate,20,0.9419657101066431,0.9094346570401466
univariate,30,0.9440178593834744,0.9205263650549423
univariate,60,0.9474404981698639,0.9273991014861784
univariate,100,0.9459527283547416,0.9310469953398863
univariate,200,0.9465217170861017,0.9275957777700503
