model,AUROC,AUPRC,Sens@Spec90,within_AUROC,AUROC[LGG],AUROC[SARC],AUROC_lo,AUROC_hi,AUROC_rep_sd,within_AUROC_lo,within_AUROC_hi,within_AUROC_rep_sd,AUPRC_lo,AUPRC_hi,AUPRC_rep_sd,method,k
l1_K10,0.9452925785125067,0.6952382877562621,0.9136212624584718,0.9059867317686275,0.9357731584676793,0.8454332552693209,0.9372391857571519,0.9532411359903553,0.001969953416778469,0.8807164590117024,0.9275842259300088,0.01242626202274918,0.6474675834914794,0.7503980943439659,0.01774018851736294,l1,10
l1_K20,0.9469042864671331,0.7038727769960967,0.9102990033222591,0.907858920390522,0.9363952102016484,0.8498468744370383,0.9393771314671254,0.9542375064465758,0.0011155557892167094,0.8833412054907227,0.9292444044784031,0.00591375401694415,0.6577943829101561,0.7582599108630028,0.010030867510795087,l1,20
l1_K30,0.9490767888959621,0.709259382003935,0.9136212624584718,0.9054016322942539,0.9369827035059527,0.8411997838227346,0.9421936769014646,0.9558203808588298,0.003343163380947186,0.8810397612397316,0.9277395344397636,0.005493639313788503,0.6603956142626111,0.7605649687007888,0.012272161449409688,l1,30
l1_K60,0.9479265200475062,0.7201195666812679,0.9102990033222591,0.9156746781100592,0.9381749693293937,0.8699333453431815,0.9410206177752899,0.954300128496195,0.0025120538914067065,0.890433146416352,0.9365306985979274,0.004672252682071409,0.6684125597149685,0.7728482856129554,0.018442402695274994,l1,60
l1_K100,0.948136497887162,0.7303612191448114,0.9136212624584718,0.9207014146565898,0.9404903841169457,0.8804719870293641,0.9417321353670797,0.9546607782393307,0.003799989719220044,0.8971400305902432,0.9404151300363579,0.007169657499255865,0.6798411677896925,0.7808652278600077,0.014197734936975853,l1,100
l1_K200,0.9504390841483632,0.7419009405713833,0.9136212624584718,0.9213906523418623,0.9428921949786602,0.8776796973518285,0.9436554811642196,0.9570361397469102,0.004185937107656482,0.8974468926439529,0.9420944476777585,0.005993251525153877,0.6926479970107318,0.7892348118845197,0.009848791320188946,l1,200
univariate_K10,0.9460592536977865,0.7023764598210729,0.9102990033222591,0.9034980398614156,0.9336996526877819,0.8421005224283913,0.9388832866346032,0.9532433894110736,0.0015494317932105448,0.8789161363659175,0.9262716427843121,0.0025957829175262816,0.6544194342428589,0.7564257382798765,0.005843911162810272,univariate,10
univariate_K20,0.9419657101066431,0.7194055629230428,0.9036544850498339,0.9094346570401466,0.9390562092858501,0.8492163574130788,0.935092456827788,0.9492045168794015,0.0030493192303495827,0.8844346642979172,0.9314570575702512,0.00371938980237645,0.6695992507850935,0.7709744961485194,0.007993397968903516,univariate,20
univariate_K30,0.9440178593834744,0.7407946212997295,0.9036544850498339,0.9205263650549423,0.9447929086102328,0.8711943793911007,0.9376202315184932,0.9505310646849539,0.0030356695317102396,0.8971849536858237,0.9403475435942321,0.006728836635105913,0.6938520492573366,0.7868368498328865,0.003946651693297582,univariate,30
univariate_K60,0.9474404981698639,0.75722565218639,0.9102990033222591,0.9273991014861784,0.9495965303336616,0.8822734642406773,0.9410947245884563,0.9537501017880381,0.0032407963875714985,0.9056518194238321,0.9462510143340342,0.0033907489738144426,0.7110850007107339,0.8013831680232864,0.005732495317324246,univariate,60
univariate_K100,0.9459527283547416,0.7675757131792783,0.9069767441860465,0.9310469953398863,0.9495446926891642,0.8934426229508197,0.9402212167754882,0.9517892288538231,0.0019840037273401046,0.910892336108195,0.948582313288488,0.003242846991243844,0.7248437944692133,0.808014873511242,0.004886229053367824,univariate,100
univariate_K200,0.9465217170861017,0.7660741744164885,0.9036544850498339,0.9275957777700503,0.9471428818274498,0.8878580435957485,0.9400589064661395,0.9530882490767377,0.002615811993720336,0.9055541050496592,0.9474175197651197,0.0030579343016662905,0.725237260308215,0.8068388309580059,0.008523733171229994,univariate,200
