gene,outer_fold_selection_frequency,in_telomere_panel,univariate_frequency,subsample_selection_frequency
DRG2,1.0,False,1.0,1.0
OR4K3,0.56,False,1.0,0.65
OR4K2,0.32,False,1.0,0.55
DEFB119,0.52,False,1.0,0.46
GPR101,0.36,False,1.0,0.35
SHFL,0.48,False,1.0,0.33
OR4K1,0.2,False,1.0,0.31
TRIP4,0.4,False,1.0,0.24
SPANXN4,0.28,False,0.0,0.24
OR4A16,0.32,False,0.0,0.22
KRTAP22-1,0.12,False,0.0,0.22
CCT8L2,0.32,False,1.0,0.21
DEFB124,0.4,False,1.0,0.2
OR5M9,0.24,False,0.0,0.2
OR4N2,0.28,False,1.0,0.18
OR2M2,0.12,False,0.0,0.18
OR4K5,0.08,False,0.0,0.18
OR10Q1,0.2,False,0.76,0.16
OR8I2,0.16,False,0.0,0.16
ANKRD62,0.2,False,1.0,0.15
TMEM216,0.6,False,0.72,0.14
GRPEL2,0.56,False,1.0,0.14
TECRL,0.04,False,0.0,0.14
OR4A47,0.2,False,0.52,0.13
GK2,0.08,False,1.0,0.13
OR4F15,0.24,False,0.0,0.12
OR5I1,0.16,False,0.0,0.12
OR4F6,0.12,False,0.0,0.12
CXorf51A,0.12,False,0.0,0.12
SCGB1C2,0.12,False,0.0,0.12
KRTAP21-3,0.08,False,0.0,0.12
TAAR8,0.04,False,0.0,0.12
OR5M8,0.04,False,0.0,0.12
KRT26,0.0,False,0.0,0.12
REM1,0.24,False,1.0,0.11
LRRC10,0.24,False,0.04,0.11
OR10H3,0.2,False,0.0,0.11
OR14J1,0.16,False,0.0,0.11
OR6X1,0.12,False,0.0,0.11
FSBP,0.08,False,0.0,0.11
OR5AC1,0.04,False,0.0,0.11
OR5B17,0.04,False,0.0,0.11
MARCOL,0.04,False,0.0,0.11
NPS,0.04,False,0.0,0.11
OR52E8,0.04,False,0.0,0.11
PTH,0.0,False,0.0,0.11
NUTM2G,0.28,False,0.0,0.1
RXFP3,0.12,False,0.0,0.1
DEFB107A,0.08,False,0.0,0.1
DEFB107B,0.08,False,0.0,0.1
OR6C3,0.08,False,0.0,0.1
OR10W1,0.04,False,0.0,0.1
SMIM35,0.04,False,0.0,0.1
OR6J1,0.04,False,0.0,0.1
KRTAP4-2,0.04,False,0.0,0.1
CDADC1,0.04,False,0.0,0.1
OPN1MW2,0.0,False,0.0,0.1
F8A3,0.32,False,0.0,0.09
LACTBL1,0.28,False,0.0,0.09
FUT5,0.2,False,0.0,0.09
OR4P4,0.2,False,0.0,0.09
OR2M3,0.12,False,0.0,0.09
KRTAP8-1,0.12,False,0.0,0.09
OR8J1,0.12,False,0.0,0.09
KRTAP10-1,0.08,False,0.0,0.09
MOS,0.04,False,0.0,0.09
OR4F4,0.04,False,0.0,0.09
DEFB116,0.04,False,0.0,0.09
KRTAP21-2,0.04,False,0.0,0.09
SMCP,0.04,False,0.88,0.09
OR5AC2,0.0,False,0.0,0.09
FABP9,0.0,False,0.0,0.09
OR5B12,0.0,False,0.0,0.09
GRXCR1,0.0,False,0.0,0.09
OR52B4,0.0,False,0.0,0.09
DEFB105A,0.0,False,0.0,0.09
ANHX,0.0,False,0.0,0.09
H2BC1,0.0,False,0.0,0.09
SPINK2,0.24,False,0.0,0.08
TMEM177,0.2,False,0.44,0.08
RAPSN,0.12,False,0.0,0.08
CT47A7,0.12,False,0.0,0.08
OR2T4,0.12,False,0.0,0.08
OR4F17,0.12,False,0.0,0.08
OR13C4,0.08,False,0.0,0.08
MINDY4B,0.08,False,0.0,0.08
FAM236A,0.08,False,0.0,0.08
OR2V2,0.08,False,0.0,0.08
OR5B3,0.08,False,0.0,0.08
TAAR5,0.08,False,0.0,0.08
SCGB1C1,0.08,False,0.0,0.08
NPVF,0.08,False,0.0,0.08
FAM9A,0.08,False,0.0,0.08
SPATC1L,0.04,False,0.0,0.08
OR56B2,0.04,False,0.0,0.08
CCER1,0.0,False,0.0,0.08
OR4K13,0.0,False,0.0,0.08
LY6G6F,0.0,False,0.0,0.08
OR11G2,0.0,False,0.0,0.08
SYCE3,0.0,False,0.0,0.08
OR52A5,0.0,False,0.0,0.08
LRRC10B,0.24,False,0.0,0.07
C13orf42,0.24,False,0.0,0.07
RNASE9,0.2,False,0.0,0.07
BEST4,0.16,False,0.0,0.07
KRTAP19-8,0.16,False,0.0,0.07
EXOC1L,0.16,False,0.0,0.07
SCP2D1,0.12,False,0.0,0.07
CCDC182,0.12,False,0.0,0.07
C1orf146,0.12,False,0.0,0.07
PPP1R2B,0.08,False,0.0,0.07
OOSP4B,0.08,False,0.0,0.07
OR5AK2,0.04,False,0.0,0.07
GPR50,0.04,False,0.0,0.07
DEFB118,0.04,False,0.0,0.07
TEKTL1,0.04,False,0.0,0.07
IFNA2,0.04,False,0.0,0.07
CT47A8,0.04,False,0.0,0.07
CSHL1,0.04,False,0.0,0.07
OR4D2,0.04,False,0.0,0.07
SPMIP10,0.04,False,0.0,0.07
PLET1,0.0,False,0.0,0.07
OR5T1,0.0,False,0.0,0.07
KRTAP13-4,0.0,False,0.0,0.07
OR9Q2,0.0,False,0.0,0.07
OR6K2,0.0,False,0.0,0.07
OR4C45,0.0,False,0.0,0.07
CLRN2,0.0,False,0.0,0.07
SPDYE10,0.0,False,0.0,0.07
IL9,0.0,False,0.0,0.07
KRTAP2-4,0.0,False,0.0,0.07
PAGE3,0.0,False,0.0,0.07
OR10G8,0.0,False,0.0,0.07
LIMS3,0.0,False,0.0,0.07
CDRT15L2,0.0,False,0.0,0.07
OR6C1,0.0,False,0.0,0.07
OR6V1,0.0,False,0.0,0.07
OR1A2,0.0,False,0.0,0.07
GARIN5A,0.32,False,1.0,0.06
SHISAL2B,0.28,False,0.0,0.06
OR4L1,0.24,False,0.0,0.06
CXorf51B,0.2,False,0.0,0.06
FRG2,0.16,False,0.0,0.06
ATRX,0.16,True,1.0,0.06
DEFB106A,0.16,False,0.0,0.06
GARIN3,0.16,False,0.0,0.06
OR52K1,0.16,False,0.0,0.06
INSC,0.16,False,0.0,0.06
FREM3,0.16,False,0.8,0.06
OR8U1,0.12,False,0.0,0.06
OR4N5,0.12,False,0.0,0.06
ADAMTSL5,0.12,False,0.0,0.06
OR5H15,0.08,False,0.0,0.06
LMX1A,0.08,False,0.8,0.06
XKR6,0.08,False,0.0,0.06
OGFOD3,0.08,False,0.0,0.06
C10orf120,0.08,False,0.0,0.06
ZIM3,0.08,False,0.0,0.06
LCN9,0.08,False,0.08,0.06
OR10H2,0.08,False,0.0,0.06
MYH13,0.08,False,0.0,0.06
KCNK18,0.04,False,0.0,0.06
CT45A6,0.04,False,0.0,0.06
TBC1D3G,0.04,False,0.0,0.06
TP53,0.04,False,0.0,0.06
NKX1-1,0.04,False,0.0,0.06
OR2T6,0.04,False,0.0,0.06
OR2B11,0.04,False,0.0,0.06
C12orf71,0.04,False,0.0,0.06
DEFB125,0.04,False,0.0,0.06
TPD52L3,0.04,False,0.0,0.06
HIGD1C,0.04,False,0.0,0.06
TAF11L14,0.04,False,0.0,0.06
SIGLECL1,0.04,False,0.0,0.06
VHLL,0.04,False,0.0,0.06
IFNA8,0.04,False,0.0,0.06
OR6C68,0.04,False,0.0,0.06
LRRC30,0.04,False,0.0,0.06
NMRAL1,0.04,False,0.0,0.06
OR10G7,0.0,False,0.0,0.06
OR13C7,0.0,False,0.0,0.06
TMEM202,0.0,False,0.0,0.06
FAM170B,0.0,False,0.0,0.06
HELT,0.0,False,0.0,0.06
TEX14,0.0,False,0.0,0.06
IFNL3,0.0,False,0.0,0.06
VPREB3,0.0,False,0.0,0.06
OR11H2,0.0,False,0.0,0.06
SMR3B,0.0,False,0.0,0.06
FAM90A26,0.0,False,0.0,0.06
GNAT1,0.0,False,0.0,0.06
EEF1AKMT1,0.0,False,0.0,0.06
POU4F2,0.0,False,0.0,0.06
ZFR2,0.44,False,0.24,0.05
OR7G3,0.12,False,0.0,0.05
FGF6,0.12,False,0.0,0.05
ZNRF4,0.12,False,0.0,0.05
