,fold0,fold1,fold2,fold3,fold4
TERT,-0.053275944524151145,0.06481854838709675,0.003870967741935449,0.014408602150537653,0.019207317073170672
TERC,-0.0006695361071257899,0.0028225806451612767,-0.0006451612903226378,0.0015053763440860512,0.001524390243902407
DKC1,0.00047824007651839915,-2.2204460492503132e-17,0.00010752688172042114,0.02645161290322582,-0.0006097560975610206
NHP2,-0.020851267336202794,0.005040322580645152,0.0018279569892472702,0.0017204301075268934,0.0006097560975609317
NOP10,-0.009947393591583009,0.0155241935483871,-0.00032258064516133,-0.0023655913978494203,0.01341463414634143
GAR1,-0.0033476805356289054,0.0013104838709677047,0.00021505376344082005,0.007096774193548416,-0.0001016260162602034
NAF1,-0.006886657101865157,0.009677419354838656,-0.006881720430107552,0.011182795698924775,0.0177845528455284
WRAP53,-0.004399808703969388,0.0007056451612903469,-0.002365591397849509,0.0,0.001321138211382067
RUVBL1,0.008799617407938776,0.010685483870967748,0.002258064516128977,-0.014301075268817165,0.00203252032520318
RUVBL2,-0.015590626494500248,0.006955645161290325,-0.0031182795698925236,0.00043010752688177334,0.001626016260162566
PARN,0.007077953132472503,-0.005645161290322598,-0.0024731182795699525,0.006989247311827973,0.0015243902439023849
SHQ1,0.015973218555714964,0.0021169354838709298,0.0009677419354838345,-0.0049462365591397715,0.004268292682926789
TERF1,-0.005069344811095178,0.0005040322580645018,-0.002365591397849509,0.012688172043010782,0.00101626016260159
TERF2,-0.0008608321377331585,-0.010483870967741948,0.00021505376344077565,0.038602150537634425,0.001930894308943043
TINF2,-0.03165949306551894,0.009979838709677424,0.00010752688172039892,0.0031182795698924794,0.004166666666666608
TERF2IP,0.01597321855571494,0.01118951612903225,0.001182795698924699,0.03354838709677421,0.011077235772357686
ACD,-0.002582496413199431,-0.0005040322580645018,-0.0010752688172043444,-0.005053763440860193,0.0015243902439023849
POT1,9.564801530363987e-05,0.0031249999999999776,-0.0010752688172043223,0.00010752688172046553,0.00020325203252027357
CTC1,-0.010616929698708755,0.004838709677419372,-0.0005376344086021944,0.004408602150537688,0.0031504065040650177
STN1,-0.0018173122907700011,0.008770161290322575,0.010215053763440807,-0.002258064516129021,0.014430894308943065
