task,model_a,model_b,metric,a,b,diff,lo,hi,p,lo90,hi90,equivalent
alt_pheno,"LR (signature, K=60)",LR (panel),AUROC,0.7670312564008029,0.7111343246896891,0.05557680963500061,0.0012530211789766803,0.11546229158985705,0.046,0.008931424357871521,0.1044078489205685,False
alt_pheno,"LR (signature, K=60)",LR (panel),within_AUROC,0.6330057009673042,0.5171389205001385,0.11791228334135773,-0.04463048348798535,0.2680556961344304,0.144,-0.016161585766183744,0.24368176985308057,False
alt_pheno,"LR (signature, K=60)",LR (panel),AUPRC,0.3216236781506605,0.3086808012871495,0.012514170195482632,-0.08281101102866217,0.11313065725641457,0.82,-0.06710407815729277,0.09414117612118789,False
alt_pheno,"LR (signature, K=60)",LR (whole transcriptome),AUROC,0.7670312564008029,0.8463192822907706,-0.07983159231493998,-0.12530109376920243,-0.038194359100405605,0.0,-0.11826635533161278,-0.045178403178894794,False
alt_pheno,"LR (signature, K=60)",LR (whole transcriptome),within_AUROC,0.6330057009673042,0.7161169956668271,-0.08195934322157541,-0.23765017243328804,0.07787595882391546,0.288,-0.20987702615952486,0.0450146171634497,False
alt_pheno,"LR (signature, K=60)",LR (whole transcriptome),AUPRC,0.3216236781506605,0.5737514743129215,-0.24539464959576993,-0.332639456269664,-0.16010051904833905,0.0,-0.3177760590452673,-0.17154612712900946,False
alt_pheno,LR (whole transcriptome),LR (panel),AUROC,0.8463192822907706,0.7111343246896891,0.13540840194994058,0.09177778460530084,0.17876776862889682,0.0,0.09886526565892426,0.17238232763917913,False
alt_pheno,LR (whole transcriptome),LR (panel),within_AUROC,0.7161169956668271,0.5171389205001385,0.19987162656293314,0.06784376778132802,0.3240850936848017,0.0,0.08525152828234184,0.3021586076217154,False
alt_pheno,LR (whole transcriptome),LR (panel),AUPRC,0.5737514743129215,0.3086808012871495,0.2579088197912525,0.17140989430496203,0.3422579019408628,0.0,0.1850909155691991,0.3242325979551459,False
alt_pheno,"LR (signature, K=60)",GBM (panel),AUROC,0.7670312564008029,0.7875752734423006,-0.021263057637950104,-0.07776053828192211,0.03257752652492727,0.454,-0.06927307361435417,0.024378354020728316,False
alt_pheno,"LR (signature, K=60)",GBM (panel),within_AUROC,0.6330057009673042,0.5807518492581083,0.0550734564895464,-0.13171954104112882,0.22417264392845143,0.518,-0.09495716979618042,0.18891295447250547,False
