method,k,AUROC,within_AUROC
l1,10,0.7655565114087911,0.5670501962329118
l1,20,0.7724796198435132,0.5905785405815497
l1,30,0.7487608045553235,0.5932124567776952
l1,60,0.7670312564008029,0.6330057009673042
l1,100,0.7892753266969809,0.6156848638041464
l1,200,0.8195075990332227,0.6650791132314965
univariate,10,0.8129736594158371,0.6497101187610335
univariate,20,0.8238089385932571,0.6673829350315869
univariate,30,0.824382450534595,0.6620932179279556
univariate,60,0.836323788456024,0.7221713098729229
univariate,100,0.8252222358772684,0.7242494455873127
univariate,200,0.8520339191348163,0.738936366554325
