gene,outer_fold_selection_frequency,in_telomere_panel,univariate_frequency,subsample_selection_frequency
SPANXN2,0.8,False,0.8,0.76
LACRT,0.44,False,0.56,0.68
BCAR3,0.6,False,0.96,0.57
OR4N4C,0.32,False,0.32,0.53
OR5AR1,0.44,False,0.0,0.5
DRG2,0.44,False,0.96,0.5
RAD21L1,0.36,False,0.56,0.5
DEFB104B,0.44,False,0.0,0.49
DEFB104A,0.44,False,0.0,0.49
KRTAP10-2,0.32,False,0.04,0.48
EBLN1,0.48,False,0.04,0.4
MAGEB18,0.2,False,0.16,0.4
KCNV2,0.4,False,0.36,0.39
SIGLECL1,0.16,False,0.0,0.38
MRGPRG,0.36,False,0.0,0.37
KRTAP22-2,0.2,False,0.0,0.34
GJA10,0.52,False,0.0,0.33
TBC1D3G,0.4,False,0.0,0.33
PASD1,0.32,False,0.0,0.33
OR2K2,0.32,False,0.08,0.33
TRIM48,0.12,False,0.32,0.33
DEFB124,0.24,False,0.04,0.32
OR10J4,0.08,False,0.0,0.3
PRDM9,0.08,False,0.0,0.3
OCSTAMP,0.4,False,0.32,0.29
SPATA31A5,0.32,False,0.0,0.29
OR4K3,0.24,False,0.08,0.29
TERT,0.24,True,0.0,0.29
OR10J1,0.12,False,0.0,0.29
CTAG1B,0.36,False,0.2,0.28
UBE2NL,0.2,False,0.0,0.28
TAS2R39,0.24,False,0.0,0.27
OR1L3,0.24,False,0.0,0.27
CTAG1A,0.24,False,0.12,0.27
IZUMO3,0.16,False,0.0,0.27
MINAR2,0.16,False,0.0,0.27
PTTG2,0.16,False,0.04,0.25
NXF2,0.12,False,0.12,0.25
CDRT15L2,0.24,False,0.0,0.24
MDFIC2,0.08,False,0.0,0.24
USP17L23,0.28,False,0.04,0.23
ELOA2,0.36,False,0.48,0.22
OR5D3,0.24,False,0.0,0.22
DAND5,0.2,False,0.12,0.22
FAM24A,0.2,False,0.0,0.21
TMEM191B,0.16,False,0.0,0.21
NKX1-1,0.12,False,0.0,0.21
OR4F17,0.12,False,0.0,0.21
NXF2B,0.04,False,0.08,0.21
MARCOL,0.28,False,0.12,0.2
KRTAP4-11,0.24,False,0.04,0.2
PNMA6E,0.2,False,0.24,0.2
TLE7,0.16,False,0.0,0.2
GRP,0.36,False,0.52,0.19
CCT8L2,0.24,False,0.0,0.19
OR4K2,0.16,False,0.08,0.19
PRSS38,0.12,False,0.0,0.19
KRTAP12-3,0.08,False,0.0,0.19
SEBOX,0.24,False,0.04,0.18
KASH5,0.16,False,0.04,0.18
KRTAP4-12,0.12,False,0.08,0.18
SDS,0.12,False,0.0,0.18
SPANXN4,0.04,False,0.0,0.18
WFDC9,0.24,False,0.0,0.17
DEFB119,0.2,False,0.04,0.17
HSD3B2,0.16,False,0.0,0.17
MUC7,0.12,False,0.2,0.17
LDHAL6B,0.08,False,0.0,0.17
OR2L3,0.08,False,0.0,0.17
FABP9,0.0,False,0.0,0.17
OR6C65,0.28,False,0.0,0.16
KRTAP10-9,0.2,False,0.0,0.16
CSHL1,0.12,False,0.0,0.16
LCN9,0.12,False,0.0,0.16
BARHL2,0.08,False,0.0,0.16
GLRB,0.04,False,0.0,0.16
BEND2,0.04,False,0.0,0.16
HOXC12,0.24,False,0.52,0.15
SMIM19,0.16,False,0.52,0.15
IFNA5,0.16,False,0.0,0.15
SKIDA1,0.12,False,0.0,0.15
OR2T2,0.12,False,0.0,0.15
KLHL34,0.08,False,0.0,0.15
OR4C11,0.0,False,0.0,0.15
OR10P1,0.2,False,0.0,0.14
PBDC1,0.16,False,0.28,0.14
GRM8,0.12,False,0.0,0.14
ASTN1,0.04,False,0.32,0.14
FBLN7,0.04,False,0.84,0.14
DPPA3,0.2,False,0.04,0.13
GHRH,0.2,False,0.0,0.13
SERPINI2,0.12,False,0.04,0.13
ZNF729,0.04,False,0.0,0.13
SPATA31D4,0.04,False,0.0,0.13
IFIT1B,0.0,False,0.0,0.13
OR6V1,0.0,False,0.0,0.13
CT45A2,0.2,False,0.0,0.12
OR4K1,0.16,False,0.0,0.12
PFN4,0.16,False,0.0,0.12
SIGLEC14,0.12,False,0.0,0.12
ZFR2,0.08,False,0.0,0.12
PPIAL4A,0.08,False,0.0,0.12
OR10H5,0.08,False,0.0,0.12
OR2V2,0.04,False,0.0,0.12
LYZL4,0.0,False,0.0,0.12
ELFN1,0.0,False,0.0,0.12
PTF1A,0.28,False,0.0,0.11
KRTAP15-1,0.2,False,0.0,0.11
HMX3,0.2,False,0.16,0.11
PRSS56,0.2,False,0.0,0.11
OR4A47,0.16,False,0.0,0.11
KRTAP4-7,0.16,False,0.0,0.11
OR2T6,0.16,False,0.0,0.11
OR10Q1,0.16,False,0.08,0.11
TRIM49D1,0.12,False,0.0,0.11
NMS,0.12,False,0.0,0.11
HEMK2,0.08,False,0.68,0.11
NUTM2D,0.08,False,0.08,0.11
CNGA2,0.08,False,0.0,0.11
SPACA7,0.08,False,0.0,0.11
KHDC3L,0.08,False,0.0,0.11
OR1B1,0.04,False,0.0,0.11
ING2,0.04,False,0.08,0.11
WWC1,0.04,False,0.56,0.11
ZNF492,0.04,False,0.0,0.11
OR52N1,0.2,False,0.0,0.1
RBP1,0.16,False,0.2,0.1
ACSM4,0.08,False,0.0,0.1
SNURF,0.08,False,0.0,0.1
ETFA,0.08,False,0.28,0.1
H3Y1,0.08,False,0.0,0.1
ARHGEF35,0.08,False,0.2,0.1
TOPAZ1,0.08,False,0.0,0.1
KRTAP5-4,0.04,False,0.0,0.1
PRR23D2,0.04,False,0.0,0.1
OR1E2,0.04,False,0.0,0.1
HOXB1,0.04,False,0.0,0.1
