gene_set,AUROC,within_AUROC
telomere panel,0.8981999936730884,0.8664551569053919
random_0,0.8880389737749518,0.8502722857837194
random_1,0.8785928948783651,0.8521426831390566
random_2,0.8937711556103888,0.860695611869978
random_3,0.858194932143874,0.830928762831468
random_4,0.865660687735282,0.8270412930495346
random_5,0.8803264686343362,0.8538309157223045
random_6,0.8493499098415108,0.810060801415888
random_7,0.8796178545443042,0.8482069127087335
random_8,0.878808009869982,0.8402959776366965
random_9,0.8891778178482174,0.8523342486536896
random_10,0.8489260067697953,0.7879274591607768
random_11,0.8839138274651229,0.8538175469965729
random_12,0.8442820537154788,0.8090815603078149
random_13,0.8636360760494765,0.8245863948172139
random_14,0.8478187972541203,0.820010417456279
random_15,0.8654708803897377,0.8239269057234936
random_16,0.8670968966499003,0.8284279220720562
random_17,0.8409414444338996,0.8018206183590073
random_18,0.8655847647970644,0.8238703833995447
random_19,0.8650343234949859,0.8304728384552332
random_20,0.8937395210527981,0.8632275752821056
random_21,0.8053209325867577,0.7708044327671577
random_22,0.8567713770522919,0.8239212870465272
random_23,0.8852298250608965,0.8482748855212605
random_24,0.8912910062952769,0.8544086143297238
random_25,0.8914934674638575,0.856885388659848
random_26,0.8848818449273987,0.8575402476750215
random_27,0.8503748695074499,0.8089030188753868
random_28,0.8645598051311253,0.832247423579747
random_29,0.8761317262978078,0.8400538213759584
random_30,0.8597007370851919,0.8305045415648722
random_31,0.8606497738129132,0.8135344982192025
random_32,0.8899876625225396,0.8552144066341411
random_33,0.8891904716712536,0.8572657216836713
random_34,0.9029515042232135,0.8773586960083877
random_35,0.8835342127740343,0.8538216737056772
random_36,0.8734427889025972,0.83476797278423
random_37,0.8739615956470849,0.8340217774291484
random_38,0.8743475372496916,0.8432369660421977
random_39,0.921723450697542,0.8891599306104502
random_40,0.8347727057037108,0.804182239335515
random_41,0.8887982031571289,0.8606587617101666
random_42,0.8842681345101389,0.8531654451676247
random_43,0.8760621302711081,0.8388282020700953
random_44,0.8605105817595141,0.8259490254340305
random_45,0.852064154882794,0.8184743743167401
random_46,0.8847679605200721,0.8529601118623332
random_47,0.8829078485337383,0.8583564338460151
random_48,0.8904558539748821,0.863168626813276
random_49,0.8858561893011926,0.8625933724912044
random_50,0.8596564487045648,0.816852395841329
random_51,0.8892663946094714,0.8491713611467956
random_52,0.8692923349466958,0.8456896558025676
random_53,0.8511467527126633,0.8200249425702439
random_54,0.8408718484072,0.8009865648926154
random_55,0.8485843535478156,0.8024883654092204
random_56,0.8627439815254183,0.8256542422833351
random_57,0.8607320236626491,0.8237731971075577
random_58,0.8510645028629275,0.8189185171630526
random_59,0.8614216570181266,0.8307753897951609
random_60,0.8652241308405302,0.8357348927120045
random_61,0.8732403277340166,0.8380639761680859
random_62,0.8673120116415172,0.8329033210764553
random_63,0.8644206130777261,0.8330136584212439
random_64,0.8588908924108697,0.8130504079089405
random_65,0.8804276992186264,0.852130919749601
random_66,0.8553225143146373,0.8184340776709796
random_67,0.8893043560785803,0.8576076173518737
random_68,0.8679953180854766,0.8239346965914768
random_69,0.8253266268071241,0.785745141465617
random_70,0.877789377115561,0.8479513242369654
random_71,0.8357407231659866,0.799137118521961
random_72,0.886805226028914,0.8568451600376703
random_73,0.8837746354117237,0.8557406755463834
random_74,0.8488690645661321,0.8162234897499476
random_75,0.8491980639650755,0.8179591341493978
random_76,0.8840593464300401,0.832965212661791
random_77,0.8792445667647338,0.8442163250569694
random_78,0.8419410964537661,0.8114293772127305
random_79,0.8470342602258707,0.809000649577132
random_80,0.8674132422258075,0.8414324463958508
random_81,0.8546012464015691,0.8176055249748555
random_82,0.8900256239916485,0.8539287550330821
random_83,0.8791749707380342,0.8536496307058339
random_84,0.8871342254278574,0.8651780625595208
random_85,0.8757014963145741,0.849307052817986
random_86,0.8725380405555029,0.8422273596047154
random_87,0.8726898864319382,0.8443638617433802
random_88,0.8502356774540508,0.8228709350152421
random_89,0.8557021290057258,0.8292269801304917
random_90,0.8375502198601753,0.78586495664043
random_91,0.89080383410838,0.8632371846210107
random_92,0.8921135047926355,0.8518893711628217
random_93,0.8794407010217962,0.8496655233461878
random_94,0.8714877732434911,0.8222799221034914
random_95,0.8497168707095631,0.8026117222979297
random_96,0.8636866913416216,0.8202385020893792
random_97,0.8818512543102085,0.853958236068588
random_98,0.8767897250956945,0.8316405341716191
random_99,0.8716775805890354,0.8358152819327775
random_100,0.8441808231311885,0.7996236848602196
random_101,0.8893233368131347,0.8608505584999122
random_102,0.8501344468697605,0.8011065161145936
random_103,0.865572110974028,0.8270867004645339
random_104,0.8651735155483851,0.8372359041626536
random_105,0.8961500743412103,0.8587331752728262
random_106,0.8984593970453323,0.8688126557110798
random_107,0.8729492898041821,0.8419491603905882
random_108,0.8779538768150328,0.8565971402226709
random_109,0.8704628135775521,0.8326174126201097
random_110,0.874942266932397,0.8429732874037509
random_111,0.894935307329727,0.8750644401704479
random_112,0.8632754420929424,0.8323465281088877
random_113,0.8680016449969947,0.8408605342552121
random_114,0.8785296257631837,0.8380759436282893
random_115,0.8809465059631141,0.8392123307616784
random_116,0.9014963145740407,0.8606683393064227
random_117,0.8404922337161115,0.8068529191611038
random_118,0.8667172819588118,0.8245169527155761
random_119,0.8817183891683275,0.8479038262567139
random_120,0.8216823257726741,0.7761313489301352
random_121,0.8991363765777736,0.8742043294757481
random_122,0.8531270760178419,0.8033666744406626
random_123,0.8623010977191484,0.8413552179645138
random_124,0.8660403024263705,0.8232306163530775
random_125,0.8835848280661794,0.8543142849901935
random_126,0.8949985764449084,0.8599498201181077
random_127,0.8867356300022144,0.8433838587863869
random_128,0.8365126063712,0.8015666170830484
random_129,0.8771693397867831,0.8346155520654084
random_130,0.8911075258612509,0.8692175539953492
random_131,0.8930751953433931,0.8580583629352871
random_132,0.8667172819588118,0.8277691177397751
random_133,0.8672993578184809,0.8358415522957313
random_134,0.8697288918414476,0.8242351936470858
random_135,0.8801366612887919,0.8485445274801998
random_136,0.8802125842270095,0.8493664139539249
random_137,0.8800291037929835,0.8517797684625888
random_138,0.8829205023567746,0.8574174893837024
random_139,0.8687861820252444,0.8372978592332876
random_140,0.8990794343741103,0.8712138205483257
random_141,0.8744867293030907,0.8351223846269101
random_142,0.8556451868020626,0.8071556428291302
random_143,0.8684508557147829,0.8331300951336903
random_144,0.8754484198538484,0.8387046637893896
random_145,0.8633197304735694,0.8313734226494058
random_146,0.8675018189870615,0.8341998517730669
random_147,0.8787320869317643,0.8483652831458655
random_148,0.8499826009933251,0.8085893526265097
random_149,0.8638132295719845,0.8197771086855258
random_150,0.8734934041947423,0.8457961884156981
random_151,0.8659011103729715,0.836986614591007
random_152,0.8930688684318749,0.8626725418384459
random_153,0.8669703584195375,0.8314866078827531
random_154,0.907108285090633,0.8786613940962398
random_155,0.8904748347094366,0.858438528169296
random_156,0.8512732909430262,0.8194330408263061
random_157,0.8540761127455633,0.8164755727887528
random_158,0.8517920976875138,0.8169325991318209
random_159,0.8775869159469805,0.8441695435808064
random_160,0.8485337382556705,0.816581543072756
random_161,0.8612698111416912,0.830569621144009
random_162,0.8801240074657556,0.8520534373644005
random_163,0.8549302458005125,0.8254249105723384
random_164,0.8622568093385214,0.8396733205623209
random_165,0.8699313530100281,0.8323988420979672
random_166,0.8563348201575401,0.8110320838661635
random_167,0.8760304957135174,0.8373976213195029
random_168,0.8619910790547595,0.8109740922531038
random_169,0.8855778051943943,0.8521745721789767
random_170,0.8636424029609946,0.8341026337384309
random_171,0.8815791971149284,0.8539991811948545
random_172,0.8719496377843156,0.8362529399486874
random_173,0.88378728923476,0.8502927243350613
random_174,0.8761317262978078,0.8445088135716647
random_175,0.8776185505045712,0.852214837082088
random_176,0.8684761633608554,0.8335034943790683
random_177,0.8697668533105565,0.8336136820745091
random_178,0.8605169086710323,0.8256806305529872
random_179,0.8729429628926639,0.8477510563560813
random_180,0.8949922495333903,0.8611716618966774
random_181,0.8718294264654709,0.8376753534451208
random_182,0.8536332289392933,0.8210159606699552
random_183,0.8863370345765714,0.8531235976069883
random_184,0.8685710670336275,0.8369894080581656
random_185,0.8583594318433456,0.8241578427707661
random_186,0.8682863560153111,0.8338639919872242
random_187,0.9031286577457214,0.8698430680221816
random_188,0.885913131504856,0.8472741038950122
random_189,0.8637879219259119,0.8257187731481974
random_190,0.8720255607225333,0.8384536691152351
random_191,0.8573028376198158,0.8208407614189601
random_192,0.8821296384170068,0.8513378114094758
random_193,0.860017082661099,0.8292616399588192
random_194,0.8756951694030559,0.8550238932032252
random_195,0.8511277719781088,0.8099878176003539
random_196,0.8637879219259119,0.8343215715828509
random_197,0.9045838473948942,0.8780700773475097
random_198,0.8590490651988232,0.8159886436665009
random_199,0.8656480339122458,0.8336218538669526
random_200,0.8914934674638575,0.8716213943930551
random_201,0.8467305684729999,0.8091694048169427
random_202,0.8729113283350732,0.8466291036343232
random_203,0.8769162633260574,0.8336060952772737
random_204,0.8510581759514093,0.8043385464244304
random_205,0.8902660466293378,0.8615058528609457
random_206,0.8886590111037297,0.8691959635940583
random_207,0.8589984499066781,0.831627541832063
random_208,0.9233304862231502,0.8928127220987513
