method,k,AUROC,within_AUROC
l1,10,0.8969219575464237,0.8711083944403128
l1,20,0.9191420707981399,0.8887258143084362
l1,30,0.9219132580430862,0.8919771630623153
l1,60,0.936604346588213,0.9108555649665356
l1,100,0.941627914333618,0.9173381731047622
l1,200,0.9456897915282655,0.9244491839649273
univariate,10,0.9404764164373162,0.9009987862978129
univariate,20,0.9432729113283351,0.9117614685389792
univariate,30,0.9468919047167126,0.9198852103451293
univariate,60,0.9519977223118534,0.9304911093449728
univariate,100,0.9529847205086837,0.9329902631423438
univariate,200,0.9527696055170668,0.9315664801230313
