model,AUROC,AUPRC,Sens@Spec90,within_AUROC,AUROC[LGG],AUROC[SARC],AUROC_lo,AUROC_hi,AUROC_rep_sd,within_AUROC_lo,within_AUROC_hi,within_AUROC_rep_sd,AUPRC_lo,AUPRC_hi,AUPRC_rep_sd,method,k
l1_K10,0.8969219575464237,0.7284194065852146,0.7431906614785992,0.8711083944403128,0.9109429267534084,0.7901279048820032,0.8772058777008004,0.9162543102084717,0.040116846087314785,0.8433028978315834,0.8976723894639735,0.052720550736790946,0.6790122250163053,0.7882820308281109,0.03827279148148954,l1,10
l1_K20,0.9191420707981399,0.7529537516013816,0.8443579766536965,0.8887258143084362,0.9264596616729736,0.8120158529994596,0.90056578406251,0.9363568061750657,0.040296926071643466,0.8630211946538605,0.9119016223841782,0.04897522011298359,0.7021048095594641,0.8149882884558313,0.04502542970949969,l1,20
l1_K30,0.9219132580430862,0.7468977911404375,0.8287937743190662,0.8919771630623153,0.9287405180308607,0.817240136912268,0.9039043370978457,0.9399873461769638,0.017049089574774454,0.8656668216048937,0.9167546910964387,0.018883903168354296,0.696614439110786,0.8082682882239838,0.02801704600655899,l1,30
l1_K60,0.936604346588213,0.7824604541417295,0.867704280155642,0.9108555649665356,0.9348400808667254,0.8620969194739686,0.91948910189491,0.9520739615956472,0.019875627588031762,0.8869549445813842,0.9318684855809942,0.0189692699413518,0.7323007942638929,0.8416029830902472,0.0288825690574657,l1,60
l1_K100,0.941627914333618,0.8064909634053812,0.8599221789883269,0.9173381731047622,0.9357386000380142,0.8799315438659701,0.9261185979564076,0.9559275252285597,0.006533485600432032,0.8949413753240572,0.9372343143535297,0.006343981006136273,0.7549687587447622,0.8590724390479342,0.015873605676421945,l1,100
l1_K200,0.9456897915282655,0.8216827558644645,0.8754863813229572,0.9244491839649273,0.9373974046619321,0.8981264637002342,0.9307010217962102,0.9594202967321501,0.0022300114915322256,0.9024167754810178,0.9435069536670445,0.005277075256036588,0.770320129047215,0.8716197221838826,0.016530197630271335,l1,200
univariate_K10,0.9404764164373162,0.7833166866261708,0.8638132295719845,0.9009987862978129,0.9374146838767646,0.8269681138533598,0.9248649204390876,0.9540367277213628,0.00114357521159949,0.8775866711214294,0.922919618061767,0.0023944161276561945,0.7352494297742966,0.8454607631858707,0.0048076188923697185,univariate,10
univariate_K20,0.9432729113283351,0.810540498816887,0.8910505836575876,0.9117614685389792,0.9419072797332089,0.850477391460998,0.9277667584068836,0.9569475815380722,0.0014419451934803206,0.8875634167699973,0.9334786887628228,0.003723381355207905,0.7620137649140157,0.8662169744219901,0.005850685971430773,univariate,20
univariate_K30,0.9468919047167126,0.8254269091127457,0.8988326848249028,0.9198852103451293,0.9433932922088021,0.8720951179967573,0.9315171933820505,0.9605833412419728,0.0014547406442669201,0.8972568378017665,0.9416264352113344,0.0023851690958114104,0.7773702124257085,0.877244928186845,0.008037858161416835,univariate,30
univariate_K60,0.9519977223118534,0.8478844968240056,0.8949416342412452,0.9304911093449728,0.9469873688939574,0.8969555035128806,0.938014298820031,0.9649826009933251,0.001149935270837046,0.9092361899432292,0.9495539938998346,0.0008664087716764716,0.803368372087673,0.8938734541085682,0.005044015797075061,univariate,60
univariate_K100,0.9529847205086837,0.8520635155718784,0.9182879377431906,0.9329902631423438,0.9467281806714702,0.9050621509637903,0.9395068172471608,0.9656450286292746,0.0015061898235535754,0.9124782413558584,0.9512523839692936,0.003985939301677048,0.8080344256812706,0.8959761177148431,0.0028394165150361357,univariate,100
univariate_K200,0.9527696055170668,0.8509339370826767,0.9260700389105059,0.9315664801230313,0.9476612582724241,0.8988470545847596,0.9400324254215305,0.9652978393597166,0.001693923009887798,0.913296240674793,0.9501451207520365,0.0037516968104630427,0.8080632367549048,0.8976492282470979,0.0070369349496505595,univariate,200
