gene,outer_fold_selection_frequency,in_telomere_panel,univariate_frequency,subsample_selection_frequency
DRG2,0.92,False,1.0,0.79
OR7G3,0.68,False,0.0,0.68
PRAMEF15,0.76,False,0.0,0.42
MS4A12,0.24,False,0.0,0.4
OR5M10,0.36,False,0.0,0.3
RBMY1E,0.44,False,0.0,0.29
ADAMTSL5,0.36,False,0.0,0.27
PLD6,0.56,False,0.0,0.26
MAGEB5,0.28,False,0.0,0.26
OR5I1,0.2,False,0.0,0.26
DEFB116,0.2,False,0.0,0.26
OR51A4,0.16,False,0.0,0.26
KRTAP19-2,0.16,False,0.0,0.26
GNAT3,0.24,False,0.0,0.25
DEFB124,0.32,False,1.0,0.23
OR52K1,0.28,False,0.0,0.23
TRIM77,0.16,False,0.0,0.22
DUXB,0.16,False,0.0,0.22
REM1,0.28,False,1.0,0.21
OR6N2,0.2,False,0.0,0.21
OR7A17,0.08,False,0.0,0.21
CXorf51B,0.24,False,0.0,0.2
FTMT,0.24,False,0.0,0.2
OR5M8,0.4,False,0.0,0.19
IGFL3,0.28,False,0.0,0.19
OR5M1,0.2,False,0.0,0.19
OR5K4,0.2,False,0.0,0.19
SPATA31C2,0.16,False,0.0,0.19
OR2Y1,0.16,False,0.0,0.19
OR6P1,0.08,False,0.0,0.19
TMEM253,0.28,False,0.0,0.18
OR5A2,0.16,False,0.0,0.18
OR51D1,0.12,False,0.0,0.18
DEFB106A,0.04,False,0.0,0.18
GARIN5A,0.28,False,1.0,0.17
RBMY1A1,0.24,False,0.0,0.17
OR6C3,0.16,False,0.0,0.17
WFDC12,0.12,False,0.0,0.17
KRTAP6-1,0.28,False,0.0,0.16
TAF11L12,0.24,False,0.0,0.16
MTFP1,0.24,False,0.0,0.16
OR4A16,0.12,False,0.0,0.16
TMEM216,0.12,False,0.0,0.16
OR5M3,0.08,False,0.0,0.16
OR8G5,0.16,False,0.0,0.15
TARM1,0.16,False,0.0,0.15
OR5H6,0.12,False,0.0,0.15
OR9I1,0.08,False,0.0,0.15
OR4E2,0.32,False,0.0,0.14
PBDC1,0.24,False,0.0,0.14
OR6B1,0.24,False,0.0,0.14
USP17L22,0.2,False,0.0,0.14
ACTL9,0.12,False,0.0,0.14
OR51G2,0.08,False,0.0,0.14
SPDYE2B,0.08,False,0.0,0.14
OR4K13,0.04,False,0.0,0.14
OR4K15,0.24,False,0.0,0.13
LDLRAD1,0.2,False,0.0,0.13
OR6C6,0.16,False,0.0,0.13
TMEM212,0.08,False,0.0,0.13
KRTAP12-1,0.08,False,0.0,0.13
OR4F5,0.04,False,0.0,0.13
WFDC9,0.04,False,0.0,0.13
OR5L1,0.04,False,0.0,0.13
CLCA1,0.04,False,0.0,0.13
OR10H3,0.0,False,0.0,0.13
OR5K3,0.32,False,0.0,0.12
OR52J3,0.24,False,0.0,0.12
RNF113A,0.24,False,0.0,0.12
TPD52L3,0.16,False,0.0,0.12
SPANXN4,0.16,False,0.0,0.12
OR2M2,0.16,False,0.0,0.12
CALHM4,0.12,False,0.0,0.12
SLC7A13,0.12,False,0.0,0.12
TRIM31,0.08,False,0.0,0.12
RETNLB,0.08,False,0.0,0.12
OR4A8,0.08,False,0.0,0.12
MUC12,0.04,False,0.0,0.12
LCE3B,0.28,False,0.0,0.11
OR2Z1,0.2,False,0.0,0.11
EPS8L2,0.16,False,0.04,0.11
OR10V1,0.16,False,0.0,0.11
LCE1F,0.16,False,0.0,0.11
LIPK,0.12,False,0.0,0.11
GIMD1,0.12,False,0.0,0.11
OR4A15,0.08,False,0.0,0.11
OR8U3,0.08,False,0.0,0.11
KRTAP10-4,0.08,False,0.0,0.11
H4C13,0.08,False,0.0,0.11
OR6C76,0.04,False,0.0,0.11
EARS2,0.04,False,0.0,0.11
OR6C4,0.0,False,0.0,0.11
OR10H4,0.0,False,0.0,0.11
CMSS1,0.16,False,0.0,0.1
IL22RA2,0.16,False,0.0,0.1
H2BC1,0.12,False,0.0,0.1
OR1L4,0.12,False,0.0,0.1
OR5T1,0.12,False,0.0,0.1
FAM178B,0.12,False,0.0,0.1
TMPRSS9,0.08,False,0.0,0.1
PPP1R2B,0.08,False,0.0,0.1
OR8D2,0.04,False,0.0,0.1
OR51S1,0.04,False,0.0,0.1
OR1S2,0.0,False,0.0,0.1
RXFP4,0.0,False,0.0,0.1
OR4D2,0.24,False,0.0,0.09
H3Y2,0.2,False,0.0,0.09
TRIM49C,0.12,False,0.0,0.09
ATRX,0.08,True,0.8,0.09
PRB1,0.08,False,0.0,0.09
