model,task,AUROC,AUPRC,Sens@Spec90,within_AUROC,AUROC[LGG],AUROC[SARC],AUROC_lo,AUROC_hi,AUROC_rep_sd,within_AUROC_lo,within_AUROC_hi,within_AUROC_rep_sd,AUPRC_lo,AUPRC_hi,AUPRC_rep_sd,dAUROC_vs_ref,dAUROC_vs_ref_lo,dAUROC_vs_ref_hi,pAUROC_vs_ref,dAUROC_vs_ref_lo90,dAUROC_vs_ref_hi90,equivalentAUROC_vs_ref,dwithin_AUROC_vs_ref,dwithin_AUROC_vs_ref_lo,dwithin_AUROC_vs_ref_hi,pwithin_AUROC_vs_ref,dwithin_AUROC_vs_ref_lo90,dwithin_AUROC_vs_ref_hi90,equivalentwithin_AUROC_vs_ref,dAUPRC_vs_ref,dAUPRC_vs_ref_lo,dAUPRC_vs_ref_hi,pAUPRC_vs_ref,dAUPRC_vs_ref_lo90,dAUPRC_vs_ref_hi90,equivalentAUPRC_vs_ref,n,n_pos,seconds
Cancer type only,alt,0.6404669260700389,0.3674540754054584,0.10505836575875487,0.4822765372860064,0.4851225960292364,0.47649072239236173,0.621195311758565,0.6594596026699566,0.0,0.4375029661895062,0.5280864952389109,0.0,0.3446850686920678,0.4008149328642987,0.00019934589446811147,,,,,,,,,,,,,,,,,,,,,,872,257,0.2533187866210937
LR (panel),alt,0.9086457245895416,0.7726765962639995,0.7431906614785992,0.8729689693220991,0.9229347018471481,0.7713925418843451,0.8875625573376357,0.9279757046597703,0.0019395070636110917,0.8439631994550241,0.9008292456277426,0.0036400557503499143,0.7241703536829566,0.8262596814414096,0.004825494136567374,0.268676115909019,0.23981849672582328,0.29529712758217086,0.0,0.24565973869855431,0.29245246907721995,False,0.3911728381126205,0.33763623818698874,0.44199462307268944,0.0,0.346191782328495,0.4359546558950776,False,0.4040547479158696,0.34585448982920297,0.4642000734488467,0.0,0.3548771123837973,0.45457510900153414,False,872,257,9.684837102890016
Elastic net (panel),alt,0.908266109898453,0.7725892178898358,0.7354085603112841,0.8724545318228948,0.9248699739083857,0.7658980363898397,0.8878861788617886,0.9277053873651577,0.001671650963453561,0.8434573041351501,0.9005716261104068,0.0031110866761277153,0.7235348965225032,0.8270060399683923,0.004149043453233573,0.26825745152004055,0.23885957419885484,0.29579031033501,0.0,0.2448835848280662,0.29152573471260007,False,0.390726052085428,0.3347162429364204,0.44143598992078453,0.0,0.3453172126219274,0.4345821514425338,False,0.4039497286260842,0.34527819595833353,0.4651179728040313,0.0,0.35338661560607165,0.4553362308823784,False,872,257,24.26626300811768
RF (panel),alt,0.9178260732023663,0.7881852871761652,0.7431906614785992,0.885037007071111,0.9240578508112591,0.8057106827598631,0.9009653285248805,0.9345419316060866,0.002738911154005544,0.8594342007215099,0.9082306853908686,0.004237450587312,0.7413445554521151,0.8401754724433671,0.005296430935785544,0.2776456518300591,0.25263333966024487,0.3036984752143241,0.0,0.2557442029673214,0.29941349530226813,False,0.4031509410209982,0.3533239240419044,0.4517188089554735,0.0,0.3601032954138522,0.44577166894630943,False,0.4209548287543815,0.36286725970146405,0.4777316444517532,0.0,0.3747108731640451,0.4679115951597906,False,872,257,51.73663067817688
GBM (panel),alt,0.9136692923349466,0.768628412862306,0.7237354085603113,0.8786056562999622,0.917077048018938,0.8003963249864889,0.8959528328746323,0.9303724969156306,0.009273531516778215,0.8525893567732367,0.903040728162523,0.012666980279732475,0.7189107949039282,0.8258059764438739,0.015724137628601084,0.27356083958115845,0.247656432887286,0.29946324064407953,0.0,0.2514396887159533,0.29539385024200443,False,0.39683236525199755,0.3461965977098244,0.44670330811632164,0.0,0.352913604405787,0.43688347721859067,False,0.40217488444464594,0.3440991763101324,0.46090016724556276,0.0,0.3526945638398253,0.4496684971778152,False,872,257,9.421615839004517
MLP (panel),alt,0.9151814241877827,0.7798204478270759,0.7237354085603113,0.8764575903043054,0.9259240060131667,0.7758962349126284,0.8969896554996679,0.9340462180886401,0.0030741665519098496,0.8489667815332328,0.9040518410751722,0.0036028607600183987,0.734112292017631,0.83301784752438,0.008913848569858671,0.27497976970042076,0.248313957166809,0.3018707095631267,0.0,0.2527863718325899,0.2982316282306792,False,0.39426760741679556,0.3411146146661062,0.4452718261171158,0.0,0.3497549058490685,0.43972891924935825,False,0.41068470707527693,0.3551010820557072,0.46726312453050056,0.0,0.3635531087878027,0.45963216808064455,False,872,257,18.306231021881104
Linear SVM (panel),alt,0.9076587263927114,0.7681871065813765,0.7159533073929961,0.872016588110472,0.920982150571078,0.7724734282111332,0.8863715162443453,0.9269130998702984,0.0036208025213675917,0.843098066418575,0.8993993833058918,0.004138424929360989,0.7180298698571865,0.8220675686414821,0.008548734032594027,0.26772610483692383,0.23837635633165663,0.29443113156812495,0.0,0.24455695802094213,0.2918012717092151,False,0.39030963932896007,0.335396672422581,0.44144285732695204,0.0,0.34518135089526497,0.43470448130317435,False,0.3994817657486876,0.3380055242789707,0.45982898624591584,0.0,0.35065668142563733,0.4500958631597363,False,872,257,4.313395977020264
MLP tuned (panel),alt,0.9199519154724621,0.7897128423291978,0.7354085603112841,0.8795414263706564,0.9286195635270333,0.779769410916952,0.9022764227642276,0.9386672360887034,0.004728727742996226,0.851032853651633,0.9065332276850154,0.007135192661109114,0.7452446116091032,0.8417541090347626,0.006171667806855117,0.2798933504159944,0.25385372180570054,0.30591740217013064,0.0,0.25821375470564045,0.30317247160798455,False,0.3975643641808225,0.3460681525021296,0.4474376805017335,0.0,0.3541049522924673,0.44207089969377145,False,0.42064742785567705,0.3666789158787833,0.4753354515580288,0.0,0.3731657980305916,0.4676648104208792,False,872,257,115.03068470954896
Cancer + glioma subtype only,alt,0.8884881844927399,0.6907675403100634,0.7392996108949417,0.7505323365530899,0.8867520259879391,0.4736083588542605,0.869471702888235,0.9074918541014203,0.0010149253539470855,0.7169643456717752,0.7846283017334309,0.0017311216064446599,0.6446701144083624,0.7486231355969872,0.003736273386126556,0.24870726645787858,0.2219630824712916,0.2753538325266521,0.0,0.22707585966910251,0.27186865331688337,False,0.2691993937944729,0.23086883909511313,0.3106145322315404,0.0,0.23579144723939977,0.3041832853080701,False,0.32485912366511444,0.26306085914326505,0.39025880150074554,0.0,0.2728946251129858,0.38016359850129977,False,872,257,0.2660412788391113
LR (panel) + glioma subtype,alt,0.9209958558729556,0.777970398526159,0.77431906614786,0.8745165445759812,0.9237813833739394,0.7743649792830121,0.9029380595362374,0.938920470722217,0.004602378266229899,0.8468729050208887,0.9023716933305533,0.007132327049767383,0.7278633062283398,0.8344625203042275,0.011538083018267016,0.2810818291101199,0.2542973173895163,0.30649813356110206,0.0,0.2595330739299611,0.30365727120306213,False,0.3928927752060381,0.33945024642673904,0.44336237126585454,0.0,0.3470934157734416,0.43700671178052575,False,0.40988361372621235,0.34977847844737847,0.47284707004992554,0.0,0.35975774855748094,0.46138776283705507,False,872,257,5.867136240005493
