subtype,n,n_pos,model,AUROC
GBM_LGG.G-CIMP-high,228,177,Cancer type only,0.5489088290683505
GBM_LGG.G-CIMP-high,228,177,LR (panel),0.6499390716738673
GBM_LGG.G-CIMP-high,228,177,Elastic net (panel),0.6522654259443891
GBM_LGG.G-CIMP-high,228,177,RF (panel),0.6569181344854326
GBM_LGG.G-CIMP-high,228,177,GBM (panel),0.6218012628780326
GBM_LGG.G-CIMP-high,228,177,MLP (panel),0.6480558325024925
GBM_LGG.G-CIMP-high,228,177,Linear SVM (panel),0.6390827517447657
GBM_LGG.G-CIMP-high,228,177,MLP tuned (panel),0.6554780104132049
GBM_LGG.G-CIMP-high,228,177,Cancer + glioma subtype only,0.3767586130497397
GBM_LGG.G-CIMP-high,228,177,LR (panel) + glioma subtype,0.619807244931871
GBM_LGG.G-CIMP-high,228,177,"LR (signature, K=60)",0.6669990029910269
GBM_LGG.G-CIMP-high,228,177,LR (whole transcriptome),0.7148554336989033
GBM_LGG.G-CIMP-high,228,177,Elastic net (whole transcriptome),0.646061814556331
GBM_LGG.G-CIMP-high,228,177,Linear SVM (whole transcriptome),0.7061039104907499
SARC,243,61,Cancer type only,0.47649072239236173
SARC,243,61,LR (panel),0.7713925418843451
SARC,243,61,Elastic net (panel),0.7658980363898397
SARC,243,61,RF (panel),0.8057106827598631
SARC,243,61,GBM (panel),0.8003963249864889
SARC,243,61,MLP (panel),0.7758962349126284
SARC,243,61,Linear SVM (panel),0.7724734282111332
SARC,243,61,MLP tuned (panel),0.779769410916952
SARC,243,61,Cancer + glioma subtype only,0.4736083588542605
SARC,243,61,LR (panel) + glioma subtype,0.7743649792830121
SARC,243,61,"LR (signature, K=60)",0.8620969194739686
SARC,243,61,LR (whole transcriptome),0.8867771572689606
SARC,243,61,Elastic net (whole transcriptome),0.8525490902540083
SARC,243,61,Linear SVM (whole transcriptome),0.8733561520446766
