task,model_a,model_b,metric,a,b,diff,lo,hi,p,lo90,hi90,equivalent
tel,Expression excluding 5p15,Expression only,AUROC,0.9229647019104328,0.9233101718101051,-0.0003506986393559128,-0.0005762377317779455,-0.0001325956798978068,0.0,-0.0005403214329165962,-0.0001643282911339696,True
tel,Expression excluding 5p15,Expression only,within_AUROC,0.8015543975160977,0.8026131956810041,-0.001086786295096053,-0.0022701380025993757,7.831282400996282e-05,0.066,-0.002045213144482155,-0.00012368183229973797,True
tel,Expression excluding 5p15,Expression only,AUPRC,0.9680184634181233,0.968175862214192,-0.00016205918607262626,-0.00028523266625766206,-3.6261056951592047e-05,0.008,-0.0002694996583865794,-6.0311250690842094e-05,True
tel,CNV only,Expression only,AUROC,0.792198620724333,0.9233101718101051,-0.13103638803699919,-0.14028803637064,-0.12173080026901303,0.0,-0.13866525942118188,-0.12314710620135311,False
tel,CNV only,Expression only,within_AUROC,0.5999826916884916,0.8026131956810041,-0.20278937036014305,-0.22755121546830112,-0.1778881664588501,0.0,-0.22294622385487683,-0.18346593711549547,False
tel,CNV only,Expression only,AUPRC,0.8953646167744947,0.968175862214192,-0.07274396279566878,-0.079483944672847,-0.06618401971114217,0.0,-0.07792244531622503,-0.0672999155577012,False
tel,"CNV only, label loci excluded",Expression only,AUROC,0.7918796390950709,0.9233101718101051,-0.13137301983342917,-0.14035836497334792,-0.12214663524888422,0.0,-0.13897422938213644,-0.12347419705746744,False
tel,"CNV only, label loci excluded",Expression only,within_AUROC,0.5996276325542038,0.8026131956810041,-0.20312880689407598,-0.22797055236093308,-0.1792282223753708,0.0,-0.22351455651091554,-0.18371468438375116,False
tel,"CNV only, label loci excluded",Expression only,AUPRC,0.8955693297431551,0.968175862214192,-0.0725419830881132,-0.0790697667417842,-0.06602293557312416,0.0,-0.07774143839169331,-0.06712360214328894,False
tel,Expression residualized for CNV,Expression only,AUROC,0.9228925325974083,0.9233101718101051,-0.00040449732670498216,-0.0012837607597373957,0.0005022389322801882,0.376,-0.0011340795842329165,0.00037100975531569876,True
tel,Expression residualized for CNV,Expression only,within_AUROC,0.800314811690081,0.8026131956810041,-0.002241787434732795,-0.0062618305585013245,0.001969704045641,0.3,-0.005740202763552032,0.001259541098074444,True
tel,Expression residualized for CNV,Expression only,AUPRC,0.9678100081959375,0.968175862214192,-0.0003547439103065443,-0.0009447072842876214,0.00022735470720526812,0.226,-0.0008488669390350146,0.0001303198984421993,True
tel,Expression + CNV,Expression only,AUROC,0.9201241716242383,0.9233101718101051,-0.0032581343682614844,-0.00528577925573345,-0.0011060901247686608,0.0,-0.004955899274535663,-0.0014460519232954107,True
tel,Expression + CNV,Expression only,within_AUROC,0.794504046631316,0.8026131956810041,-0.008383302807374043,-0.01790601627629444,0.00047325294437236103,0.07,-0.01651582865609319,-0.0006468383945815284,True
tel,Expression + CNV,Expression only,AUPRC,0.9658830308556596,0.968175862214192,-0.00235805627023033,-0.004137151987386392,-0.0007255209989787931,0.0,-0.003861674440740759,-0.0010111625981014838,True
