,fold0,fold1,fold2,fold3,fold4
TERC,0.0007420020211248879,0.0007161241651689298,-3.531570307222509e-05,0.00028828170822130516,0.0005068446156059059
DKC1,0.0003793070033362156,0.0031756861700946936,0.001694050131744107,0.00013445768732778252,0.0004365724909531243
NHP2,0.010449492642274728,0.012957354278994426,0.010668653174964437,0.0070277657890950975,0.013667651583059404
NOP10,0.000326702382435573,-0.00012092569171715529,0.00018320020968694007,0.002868430662992627,0.0013761163307990597
GAR1,5.260462090062035e-05,0.00040271583571853674,0.00012636400005514581,4.537255292542674e-05,-0.00011785797284289413
NAF1,-2.7132909727711762e-05,-0.000212452018016851,-0.00028694008746157353,0.00021247634540686456,-0.0002550822792515284
WRAP53,0.0006085524038927037,0.00213228605027842,0.001322683441625605,0.0015443267709129183,0.0009970895167269235
RUVBL1,5.0943422345861575e-05,-0.00012591803678807523,0.00010649891707703585,2.5452895543542907e-05,3.37527527859427e-05
RUVBL2,0.002804103160430227,0.0002912201291353167,0.0015047800355915575,0.0028219514624348687,0.0031284928565895155
PARN,0.00039591898888378105,0.00024018726841064099,0.00024279545862126994,-9.738499164477777e-05,0.00014718413509950956
SHQ1,0.0011744673782133619,-0.00018693558765452422,0.0007885334326587223,0.001954339718690212,0.0017822560118632368
TERF1,0.0029796364743829074,0.00615389735738534,0.0025581812412917458,0.0006739484080874103,0.001790002545289515
TERF2,0.005098218364549978,0.010592646830415543,0.003736291023465599,0.0017180704491882802,0.010215464294014098
TINF2,5.869568226806177e-05,-6.046284585861095e-05,-0.00029300997392709414,-7.857198189522573e-05,-9.07451058508757e-05
TERF2IP,0.016805792045627554,0.04469702012469763,0.02039481852418983,0.024757920830428402,0.054142182087801395
ACD,0.0020488115508672687,0.003917326765626017,0.0030785360537460395,0.002672000708254485,0.00013335103969538408
POT1,-0.00015061533563134332,3.494641549621758e-05,-2.1520506559680186e-05,-0.00018979006894412898,-9.793831546101028e-05
CTC1,0.0011656076525879745,0.0021594665956644167,0.0017955827780766543,0.0013036309108816813,0.0019858791762114693
STN1,7.752259922197969e-05,-6.10175508664712e-05,-0.00010925795637961588,0.0005715835020971172,0.00043823246240159985
TEN1,-0.0002065423536415256,0.00046650691162435364,4.193739739819513e-05,2.6006219359708815e-05,7.193209610123485e-05
RTEL1,0.004498525686282617,0.0057578379817612825,0.004982824980341793,0.003098613370516712,0.004434337062735838
WRN,0.0005238312776000952,0.00019636557278837063,6.125067251578908e-05,7.027212465282595e-05,7.967862952755756e-05
BLM,0.030488530808311487,0.030670749295524602,0.027886713846238708,0.027054214667507747,0.023408364042805108
DCLRE1B,0.005816963605908288,0.004506423483991173,0.00863303397756896,0.012101191859500048,0.012733640981375083
PIF1,0.022140454337804694,0.04179147529343892,0.024484266578377368,0.029377621371579087,0.021437977933446196
RECQL4,0.00028240375430872434,0.000520868002396302,0.002328077363462011,0.0019272268516981716,0.0014380885982094194
ATRX,0.037718620651466674,0.037380461070802506,0.03991667701306403,0.03692053163352262,0.038612595863351105
DAXX,0.0009036920137879045,0.001384543699660501,0.0016708742016029675,0.0003430607660215079,0.000769673428283646
H3-3A,8.084499633147502e-05,0.001043400119816229,0.0005032487687786746,9.461837256397043e-05,0.00020528313579668556
SMARCAL1,1.6058252695949626e-05,-0.00032505713461583596,1.2139772931041292e-05,0.00011232473468125725,-0.0003917532618439079
FANCM,0.0008328142087849378,-0.00013923095697707666,-0.0005567741312475283,4.426590529327257e-06,-0.0004598120912320702
SLX4,-3.100903968884516e-05,-6.434578091374377e-05,-0.0001881664804315619,4.813917200625628e-05,-2.2132952646614078e-05
MUS81,0.0002281379348533008,0.00039162173556099854,-0.0008988950047593702,0.0009395438398459577,0.0011968394143620164
BRCA1,0.003168459376773658,0.0055703476890988975,0.003946529818317246,0.00023571594568574383,0.001272091453360291
BRCA2,0.000626825587995028,-0.00012425392176442784,-0.00025327980797089643,0.000591503159479001,4.758584819004596e-05
RAD51,-1.1074657031873158e-06,0.0006412389891055526,0.003530466691497991,0.0038776933036752,-8.13386009761219e-05
RAD52,0.00107811786203742,0.00017916971754416977,9.932541489021674e-06,-1.6599714484888396e-05,-0.00038787999513079097
POLD3,0.0023107271896673385,0.0035600967405533313,0.002225441101408476,0.004634086960370975,0.006071622234764184
TOP3A,0.0009917355371900527,0.0022870487474760505,0.0017106043675591653,0.004621360512599204,0.005928864690193958
RMI1,-1.3843321289663812e-05,1.4977035212648816e-05,-0.0002576942708549357,0.0002584022221484572,-2.6006219359753223e-05
RMI2,0.0020665310021179993,0.004074308282855155,0.0007515623060050158,0.0021789891880526603,0.0007359206754976588
PML,0.0015426997245179042,-0.00027291486387543974,0.00017161224461639257,0.002248707988889276,0.0006435155981983298
SP100,0.0009828758115646874,0.000876433912445318,0.0014755342189849419,-0.00022852273607556483,0.0009954295452784256
NBN,0.0009197502664838985,0.00028511837404867626,-0.0003145304804867299,-0.00037958013788828013,-1.6599714484977212e-06
MRE11,0.0030422082866120802,0.003791408728837964,0.003627033067085983,0.002652634374688767,0.0075528700906343895
RAD50,-0.00012569735730998398,0.00035833943508838394,2.5383161583092396e-05,0.0006141894359417366,0.0006274692075295852
FANCD2,0.0003549427578664277,-0.00041159111584465613,0.00023175930141121625,0.0004592587674158599,-3.873266713183554e-06
SMC5,0.0015626341071749428,0.002107324324923954,0.004181599966891514,0.008304837156800905,0.004027090734039329
SMC6,0.00037376967482034563,0.0013573631542745045,0.0016763922802079723,0.0028219514624348687,0.0019366333565728811
NSMCE2,0.0011921868294640925,0.0005580332379240494,-0.00028031839313553687,0.0025364363732943928,0.0016953841727255004
MYC,0.000548195523069861,0.0009058332778628219,0.00013353750224167626,-5.311908635172724e-05,-9.959828690986328e-06
MAX,0.0004955909021691962,-0.0001580909272449249,8.82892576804295e-05,-4.20526100284313e-05,0.0009030244679790967
GABPA,0.0007530766781566056,3.6055825511960296e-05,0.0031888976258466206,0.00038234675696910967,8.299857242450858e-05
GABPB1,0.00082727688026909,0.0015548381370786846,-2.7590393025200833e-05,0.0023521795425119007,0.00215630291158988
SP1,0.0027044312471447896,0.001742883134748907,0.00639876395039245,0.004959994688091362,0.0016428184101899613
TNKS,0.002065977269266428,8.32057511810369e-06,0.0009176564720164038,0.00019034339276029487,0.00012892444916610125
TNKS2,0.0013721500062294778,0.0022093900463733052,0.0005484970133399214,0.001470734703363119,0.0006828015891459538
PINX1,0.0006772152774893403,-4.0493465575019984e-05,0.0008558539916400764,0.0003768135188074728,2.489957172733259e-05
HNRNPA1,0.005109293021581718,0.003733164703010927,0.004763205451861619,0.0032076181623009736,0.0015847194094927852
