,fold0,fold1,fold2,fold3,fold4
TERC,0.0007702423965557648,0.0007044753600035092,-4.469643670068635e-05,0.0002512090125383226,0.0005068446156059059
DKC1,0.00041640710439250217,0.0031363021145354606,0.0016355584985308757,0.0001001516107256295,0.0004365724909531243
NHP2,0.010461121032158039,0.012984534824380356,0.010660376057056987,0.006880028330179399,0.013667651583059404
NOP10,0.0003410994365768305,-0.0001414497770086065,0.00013795196512580432,0.002720693204076885,0.0013761163307990597
GAR1,7.253900355774778e-05,0.00039827819565552147,0.00012084592145020779,3.430607660213081e-05,-0.00011785797284289413
NAF1,-2.214931406330223e-06,-0.00023741374337131748,-0.0003250148298361788,0.00020417648816437595,-0.0002550822792515284
WRAP53,0.0006606032919417748,0.0020768155494907737,0.0012730207341803857,0.0014845677987671778,0.0009970895167269235
RUVBL1,9.745698187906271e-05,-0.00012702744680381794,8.111575549401007e-05,-1.8813009749574226e-05,3.37527527859427e-05
RUVBL2,0.002852831651369803,0.0002823448490092861,0.001477189642566512,0.0028562575390370217,0.0031284928565895155
PARN,0.0004274817614241977,0.00021134260800101946,0.00022900026210879166,-0.00014497083983489034,0.00014773745891567548
SHQ1,0.0011966166922768196,-0.00018416206261513414,0.0007819117383327745,0.0020024788906963797,0.0017817026880470933
TERF1,0.002999570857040035,0.006194390822960316,0.00249527514519452,0.0006208293217356608,0.001790002545289515
TERF2,0.005140302061270518,0.010633140295990561,0.0036331029535515923,0.001694277525093213,0.010214910970197954
TINF2,8.970472195690693e-05,-5.3251680756205566e-05,-0.0003354991791857609,-0.00011509135376206459,-9.12984296670416e-05
TERF2IP,0.01696415964118112,0.044738068295280556,0.020203341196595413,0.02485309252680854,0.054142182087801395
ACD,0.0020504727494220277,0.0038845991701612847,0.0030570155471865146,0.0027328663280324684,0.00013335103969538408
POT1,-0.00016002879410828008,-3.882935055177228e-06,-2.979762446710943e-05,-0.00019421665947347844,-9.793831546101028e-05
CTC1,0.0011661613854395902,0.002140051920388708,0.0017586116514230366,0.0013213372729989014,0.0019858791762114693
STN1,0.00011296150172348529,-6.490048592162622e-05,-0.00015064354591727281,0.0005411506922081033,0.00043823246240159985
TEN1,-0.00016335119121779762,0.0004432093012935345,3.476389521173129e-05,-1.8813009749596432e-05,7.248541991740076e-05
RTEL1,0.004538948184448421,0.005770041491934541,0.004934817696478166,0.0030593273795690434,0.004434337062735838
WRN,0.0005504104544762134,0.00017972442255205224,3.6419318793257104e-05,5.533238161636867e-06,7.967862952755756e-05
BLM,0.030194498664119475,0.030546495373760196,0.027775248658417184,0.027118400230182704,0.023407810718988942
DCLRE1B,0.005875659288176416,0.00446648472342408,0.008665038833478245,0.01206190586855238,0.012733640981375083
PIF1,0.02214709913202375,0.04178260001331291,0.024564830526010904,0.029486072839547184,0.021437977933446196
RECQL4,0.000310644129739579,0.000504781557167866,0.002234270027176599,0.0018973473656253015,0.0014375352743932535
ATRX,0.03758295610282818,0.037338858195211745,0.03977320696933333,0.03691665836680939,0.038612595863351105
DAXX,0.0009479906419147755,0.0013706760744635505,0.0016305922277863427,0.0002838551176919779,0.000769673428283646
H3-3A,8.139872918306867e-05,0.0010528301049501864,0.0004966270744527268,9.29584011154727e-05,0.00020417648816435375
SMARCAL1,6.644794219035077e-06,-0.00033892475981274207,1.6554235815147145e-05,0.00011121808704890323,-0.0003917532618439079
FANCM,0.000848872461480954,-0.00015309858217407157,-0.0005705693277600288,9.959828690941918e-06,-0.0004592587674159043
SLX4,-2.5471711172930787e-05,-0.00011537864163839729,-0.00021520506559609133,3.873266713145806e-05,-2.1579628830448173e-05
MUS81,0.00024142752329137096,0.00037608999534044507,-0.0009110347776903449,0.000918517534831742,0.0011968394143620164
BRCA1,0.0032764372828329113,0.005569792984091016,0.003990122639297056,0.00018979006894415118,0.0012726447771764348
BRCA2,0.0007215139056162112,-0.00014533271206376152,-0.0002488653450867684,0.0005455772827373861,4.8139172006211874e-05
RAD51,-6.644794219035077e-06,0.0006573254343339663,0.0034592834774932026,0.0033824684882086896,-8.078527715995598e-05
RAD52,0.0010858701219596423,0.0001747320774811767,-2.2072314419308014e-06,1.1066476323318143e-06,-0.00038787999513079097
POLD3,0.0023123883882220976,0.0035168297499389434,0.002145980769496103,0.004522868873322028,0.006071068910948019
TOP3A,0.0009989340642606813,0.0022759546473185344,0.0016747368566265796,0.004609187388643599,0.005928864690193958
