task,model_a,model_b,metric,a,b,diff,lo,hi,p,lo90,hi90,equivalent
tel_no5p,LR (whole transcriptome),LR (panel),AUROC,0.924637151843957,0.8922682409085979,0.032362942340511715,0.027779053307745237,0.03724318131008268,0.0,0.028371328078481983,0.036384954390811255,False
tel_no5p,LR (whole transcriptome),LR (panel),within_AUROC,0.8083991609168395,0.7114190380159456,0.09738868329228335,0.07903570186539603,0.11828320854629594,0.0,0.08198766935962969,0.11335065771678263,False
tel_no5p,LR (whole transcriptome),LR (panel),AUPRC,0.9691619350169325,0.9521316427018399,0.0170264456307919,0.014335554703763728,0.019825562971984997,0.0,0.014735157340451383,0.019332381454220032,True
tel_no5p,GBM (panel),LR (panel),AUROC,0.8948392223528188,0.8922682409085979,0.002632202123632885,-0.0012583642670101786,0.006256145232229408,0.176,-0.000790175597036552,0.00565765882423248,True
tel_no5p,GBM (panel),LR (panel),within_AUROC,0.7230015887811314,0.7114190380159456,0.011944001518791578,-0.004474010614959564,0.027102274384311235,0.14,-0.0015122177330035734,0.024968221619624285,False
tel_no5p,GBM (panel),LR (panel),AUPRC,0.9524007466805775,0.9521316427018399,0.00029406475453807446,-0.002271804688164561,0.0025907818494405846,0.792,-0.0018264813242413025,0.0022271833513720697,True
tel_no5p,Elastic net (panel),LR (panel),AUROC,0.8922013931775471,0.8922682409085979,-5.99110615286913e-05,-0.0002770860587065022,0.0001536861432622049,0.608,-0.00024758009000092063,0.00012717116782101634,True
tel_no5p,Elastic net (panel),LR (panel),within_AUROC,0.7113198129580206,0.7114190380159456,-9.237448141482163e-05,-0.0012707461572070422,0.001082941562696543,0.852,-0.0010719771771787068,0.0009132001146572808,True
tel_no5p,Elastic net (panel),LR (panel),AUPRC,0.9520495524028725,0.9521316427018399,-7.976003420354926e-05,-0.00024372498517364894,6.328409081943764e-05,0.33,-0.0002150492235049706,4.7888003057178174e-05,True
tel_no5p,Linear SVM (panel),LR (panel),AUROC,0.892038258151771,0.8922682409085979,-0.0002295706029355472,-0.0008026625097117074,0.00028457599281052625,0.42,-0.0006985366544702166,0.0002398494376599891,True
tel_no5p,Linear SVM (panel),LR (panel),within_AUROC,0.7109388808954439,0.7114190380159456,-0.00045719426634679126,-0.002830119251927071,0.0019285720599085201,0.698,-0.0024818483426275848,0.0014930725855325842,True
tel_no5p,Linear SVM (panel),LR (panel),AUPRC,0.9516924428488653,0.9521316427018399,-0.00044146041522108816,-0.0007975343025043158,-7.697769282227484e-05,0.016,-0.0007411844610241081,-0.0001434448583603976,True
tel_no5p,LR (whole transcriptome),LR (whole transcriptome) [all genes],AUROC,0.924637151843957,0.9249444964617186,-0.00030970852618461266,-0.0005961732994224534,-1.2340268232016777e-05,0.04,-0.0005585271806858693,-5.69865839702366e-05,True
tel_no5p,LR (whole transcriptome),LR (whole transcriptome) [all genes],within_AUROC,0.8083991609168395,0.8096404919856567,-0.001278894752554438,-0.002632388583744255,0.0001305213315391017,0.088,-0.0024415078621050357,-8.00048141986936e-05,True
tel_no5p,LR (whole transcriptome),LR (whole transcriptome) [all genes],AUPRC,0.9691619350169325,0.9692660385447557,-0.00010330597580183776,-0.00026518806471739764,5.605121576139068e-05,0.212,-0.00023747902011674314,3.328711538193576e-05,True
