task,model_a,model_b,metric,a,b,diff,lo,hi,p,lo90,hi90,equivalent
tel,"LR (signature, K=60)",LR (panel),AUROC,0.8879290041680225,0.8922613790554106,-0.004383959422099152,-0.009557501776334548,0.0012908252595883454,0.122,-0.008930120879291154,0.0002517193369236388,True
tel,"LR (signature, K=60)",LR (panel),within_AUROC,0.6678865235434307,0.7113300298885231,-0.043596464641034345,-0.06956275724523804,-0.017962716960801987,0.004,-0.06693142567875772,-0.02119650420838691,False
tel,"LR (signature, K=60)",LR (panel),AUPRC,0.9499250713157958,0.9521305631747574,-0.0022125675755755195,-0.005453465162422996,0.0011819097238213977,0.2,-0.005002843510636951,0.0005901066864899494,True
tel,"LR (signature, K=60)",LR (whole transcriptome),AUROC,0.8879290041680225,0.9249444964617186,-0.03706348033193662,-0.041750765871355705,-0.032440744577475845,0.0,-0.041148109780797006,-0.0333012320346723,False
tel,"LR (signature, K=60)",LR (whole transcriptome),within_AUROC,0.6678865235434307,0.8096404919856567,-0.142352165177047,-0.16433726288010242,-0.12053800497589684,0.0,-0.16049489125657215,-0.12404372712777251,False
tel,"LR (signature, K=60)",LR (whole transcriptome),AUPRC,0.9499250713157958,0.9692660385447557,-0.019343444468515072,-0.02192731394698816,-0.016889335670973605,0.0,-0.0214424397181039,-0.01730535665084474,False
tel,LR (whole transcriptome),LR (panel),AUROC,0.9249444964617186,0.8922613790554106,0.032679520909837466,0.02811243699822693,0.03765569766232155,0.0,0.028671036117696263,0.036678032994446316,False
tel,LR (whole transcriptome),LR (panel),within_AUROC,0.8096404919856567,0.7113300298885231,0.09875570053601265,0.07982841228358875,0.11923403334444878,0.0,0.08316298707041908,0.11484479461713956,False
tel,LR (whole transcriptome),LR (panel),AUPRC,0.9692660385447557,0.9521305631747574,0.017130876892939555,0.014455230798678834,0.019940987806381698,0.0,0.014890802214210186,0.019432230360617787,True
tel,"LR (signature, K=60)",RF (panel),AUROC,0.8879290041680225,0.8877082074404623,5.6314786408216856e-05,-0.005665940084954138,0.005569077279961417,0.984,-0.004775025289249235,0.0045793850008744134,True
tel,"LR (signature, K=60)",RF (panel),within_AUROC,0.6678865235434307,0.7164635896052558,-0.04932321515648939,-0.07647286938661854,-0.022585309860696515,0.0,-0.07151909705147322,-0.028288524128042482,False
tel,"LR (signature, K=60)",RF (panel),AUPRC,0.9499250713157958,0.9498016490541679,6.0470872848810694e-05,-0.00332460156228149,0.0034025220581770563,0.958,-0.002814588413377145,0.002787901422409716,True
tel,"LR (signature, K=60)",GBM (panel),AUROC,0.8879290041680225,0.8948392223528188,-0.007023031588873174,-0.012630621462548655,-0.001412036575891006,0.018,-0.011826182618261776,-0.0021013816673417954,True
tel,"LR (signature, K=60)",GBM (panel),within_AUROC,0.6678865235434307,0.7230015887811314,-0.05562858865100078,-0.08195664543486539,-0.029745155349575537,0.0,-0.0779502089714255,-0.03313852948040662,False
tel,"LR (signature, K=60)",GBM (panel),AUPRC,0.9499250713157958,0.9524007466805775,-0.002507757616459413,-0.006121275571942161,0.0009969147250194293,0.17,-0.0053930806238200344,0.000500844503287134,True
tel,"LR (signature, K=60)",MLP tuned (panel),AUROC,0.8879290041680225,0.900522275567597,-0.012753272882620258,-0.01784449823251945,-0.0073398338324778154,0.0,-0.01729344161780364,-0.008185814557310912,True
tel,"LR (signature, K=60)",MLP tuned (panel),within_AUROC,0.6678865235434307,0.7342913978452714,-0.06686533446883067,-0.09448326352422874,-0.04277692927595239,0.0,-0.09039833408637729,-0.04603817254591974,False
tel,"LR (signature, K=60)",MLP tuned (panel),AUPRC,0.9499250713157958,0.9557047564554606,-0.005827385496072015,-0.009119883337090493,-0.002672331575142762,0.0,-0.008467692016077116,-0.0031233102998853963,True
tel,"LR (signature, K=60)",Elastic net (panel),AUROC,0.8879290041680225,0.8922013931775471,-0.004330918403711598,-0.009468673980073996,0.0014142915800634437,0.128,-0.008877777113727442,0.0003533135003640821,True
tel,"LR (signature, K=60)",Elastic net (panel),within_AUROC,0.6678865235434307,0.7113198129580206,-0.04359221265079439,-0.06951186572444082,-0.017727194739037274,0.004,-0.06606698281594486,-0.02126334749118663,False
tel,"LR (signature, K=60)",Elastic net (panel),AUPRC,0.9499250713157958,0.9520495524028725,-0.002133932827717789,-0.005401838162609879,0.001264340224628973,0.224,-0.004960977842800645,0.0007369055799664668,True
tel,"LR (signature, K=60)",Linear SVM (panel),AUROC,0.8879290041680225,0.8920322816989948,-0.0041561488845061586,-0.009323769902141043,0.0013504597441634921,0.13,-0.008616030617146192,0.00035798952128607807,True
tel,"LR (signature, K=60)",Linear SVM (panel),within_AUROC,0.6678865235434307,0.7110401518024161,-0.04333643433546323,-0.06908151487323894,-0.017841525543483696,0.002,-0.06611288399136625,-0.02080665004101248,False
tel,"LR (signature, K=60)",Linear SVM (panel),AUPRC,0.9499250713157958,0.95167825328571,-0.0017582980396887921,-0.005071780444921359,0.0016559256237506717,0.29,-0.004553412452790034,0.0011159114031552022,True
tel,RF (panel),LR (panel),AUROC,0.8877082074404623,0.8922613790554106,-0.004440274208507369,-0.008755594623848725,-0.00045743658872928416,0.038,-0.007867181084305636,-0.0011053836772007722,True
tel,RF (panel),LR (panel),within_AUROC,0.7164635896052558,0.7113300298885231,0.005726750515455052,-0.013534482547209566,0.02408452609574254,0.512,-0.009447675174487136,0.02116065004086789,False
tel,RF (panel),LR (panel),AUPRC,0.9498016490541679,0.9521305631747574,-0.00227303844842433,-0.0049771742074948945,0.00044933659204510987,0.084,-0.004583494045836178,-0.00011033310126453704,True
tel,GBM (panel),LR (panel),AUROC,0.8948392223528188,0.8922613790554106,0.002639072166774022,-0.0012523463110898968,0.0062710725297881785,0.174,-0.000782959583684778,0.005661620991072912,True
tel,GBM (panel),LR (panel),within_AUROC,0.7230015887811314,0.7113300298885231,0.012032124009966439,-0.004375504103974295,0.02704565346306906,0.138,-0.0013711779351356142,0.025069054220936086,False
tel,GBM (panel),LR (panel),AUPRC,0.9524007466805775,0.9521305631747574,0.00029519004088389325,-0.0022697715766507977,0.002587283409195165,0.792,-0.0018218375633241967,0.002233730722055549,True
tel,MLP (panel),LR (panel),AUROC,0.8987456089673354,0.8922613790554106,0.0065923914222408165,0.003677244988080283,0.009196681740608661,0.0,0.004198850971616286,0.008960301965810302,True
tel,MLP (panel),LR (panel),within_AUROC,0.7345108943929061,0.7113300298885231,0.02355087085514193,0.013337142828499515,0.0331821329540116,0.0,0.01475656974013458,0.032095816921125536,False
tel,MLP (panel),LR (panel),AUPRC,0.9550183769581002,0.9521305631747574,0.0029316778777863533,0.0012412255775472835,0.004523113394276154,0.002,0.001545117109253541,0.004310733285312718,True
tel,MLP tuned (panel),MLP (panel),AUROC,0.900522275567597,0.8987456089673354,0.0017769220382802885,0.0005897956495851564,0.0030153777450179415,0.002,0.0007265927800023608,0.0028134428130941968,True
tel,MLP tuned (panel),MLP (panel),within_AUROC,0.7342913978452714,0.7345108943929061,-0.0002820010273456015,-0.005381130048204674,0.004465583750274501,0.916,-0.004514434589573979,0.003751597026918507,True
tel,MLP tuned (panel),MLP (panel),AUPRC,0.9557047564554606,0.9550183769581002,0.0006831400427101418,-6.361201877974063e-05,0.0014489662190574676,0.07,5.771173387049689e-05,0.00133647080744802,True
tel,Elastic net (panel),LR (panel),AUROC,0.8922013931775471,0.8922613790554106,-5.3041018387554374e-05,-0.0002736080952159381,0.00016343938216760993,0.654,-0.00024693264095022036,0.00013495162393508116,True
tel,Elastic net (panel),LR (panel),within_AUROC,0.7113198129580206,0.7113300298885231,-4.251990239958925e-06,-0.0011676158168982987,0.0012135935536202458,1.0,-0.0010082174572309977,0.001002796546015866,True
tel,Elastic net (panel),LR (panel),AUPRC,0.9520495524028725,0.9521305631747574,-7.86347478577305e-05,-0.00024833768653993173,6.812212494529677e-05,0.336,-0.0002135608160800606,4.843575592842208e-05,True
tel,Linear SVM (panel),LR (panel),AUROC,0.8920322816989948,0.8922613790554106,-0.00022781053759299353,-0.0008136857448320933,0.0002977490908044,0.432,-0.0007031628716191284,0.00023641297731381015,True
tel,Linear SVM (panel),LR (panel),within_AUROC,0.7110401518024161,0.7113300298885231,-0.00026003030557111904,-0.0026614309229524152,0.0020396899967694217,0.832,-0.0022845314291005223,0.0016620021646029598,True
tel,Linear SVM (panel),LR (panel),AUPRC,0.95167825328571,0.9521305631747574,-0.00045426953588672723,-0.0008269266558992878,-9.149893839570379e-05,0.016,-0.0007561296269097184,-0.00014819289492539747,True
tel,Elastic net (whole transcriptome),LR (whole transcriptome),AUROC,0.8897655459710961,0.9249444964617186,-0.035152102991989335,-0.039617585878306064,-0.03052530806400551,0.0,-0.03892668995269742,-0.031371842164095734,False
tel,Elastic net (whole transcriptome),LR (whole transcriptome),within_AUROC,0.746751652314477,0.8096404919856567,-0.06274979828551057,-0.07596038795250132,-0.04940251263003331,0.0,-0.07448992053486884,-0.05092104148684032,False
tel,Elastic net (whole transcriptome),LR (whole transcriptome),AUPRC,0.9356233463637696,0.9692660385447557,-0.03364095229582917,-0.03733538824902005,-0.029967427495758335,0.0,-0.036766114222742174,-0.030496964480262463,False
