method,k,AUROC,within_AUROC
l1,10,0.8708012652371877,0.5835412542360099
l1,20,0.8763672242475756,0.6093068323324528
l1,30,0.8800903329769597,0.6264341512267382
l1,60,0.8879290041680225,0.6678865235434307
l1,100,0.8947317568779011,0.6960704006814437
l1,200,0.9026550944832914,0.7367290571562424
univariate,10,0.8871556069087794,0.6972086922601602
univariate,20,0.8905958302067631,0.7063405907055879
univariate,30,0.8928667715866154,0.7130840457639332
univariate,60,0.8966720012041446,0.7256795740064396
univariate,100,0.8963251455930301,0.7333506474327451
univariate,200,0.900271707251208,0.7367626651529096
