model,AUROC,AUPRC,Sens@Spec90,within_AUROC,AUROC[ACC],AUROC[BLCA],AUROC[BRCA],AUROC[CHOL],AUROC[ESCA],AUROC[GBM],AUROC[HNSC],AUROC[KICH],AUROC[KIRC],AUROC[KIRP],AUROC[LAML],AUROC[LGG],AUROC[LIHC],AUROC[LUAD],AUROC[PAAD],AUROC[PCPG],AUROC[PRAD],AUROC[SARC],AUROC[SKCM],AUROC[STAD],AUROC[THCA],AUROC[UVM],AUROC_lo,AUROC_hi,AUROC_rep_sd,within_AUROC_lo,within_AUROC_hi,within_AUROC_rep_sd,AUPRC_lo,AUPRC_hi,AUPRC_rep_sd,method,k
l1_K10,0.8708012652371877,0.9408675675097319,0.6078470824949698,0.5835412542360099,0.6297134238310709,0.5269574175824175,0.5556400121617513,0.49242424242424243,0.7155425219941349,0.868172268907563,0.4467424242424242,0.5252525252525253,0.4886131251161926,0.42933130699088146,0.8122350090854028,0.9340482749573659,0.5681818181818182,0.6190045248868778,0.5099388379204893,0.625,0.5001105705440071,0.6227410842795458,0.5340991711502109,0.5420408163265306,0.45973610827722233,0.4718954248366013,0.868062815838928,0.8734192088725975,0.0008767989917388308,0.5625795999094043,0.6041465824623354,0.008414997186984512,0.9393831733789361,0.9424253189453068,0.0006044075649386614,l1,10
l1_K20,0.8763672242475756,0.9437727341239306,0.6177062374245473,0.6093068323324528,0.6221719457013575,0.49742445054945056,0.5767384789123919,0.5189393939393939,0.7712609970674487,0.8671218487394958,0.48522727272727273,0.494949494949495,0.5304889384643986,0.48746200607902734,0.8594791035735918,0.9309654991473173,0.6188672438672439,0.6844268476621418,0.5504587155963303,0.5925925925925926,0.5329131652661064,0.6420917959379497,0.5730696524647375,0.5959183673469388,0.47418894103244236,0.5013071895424837,0.8731334320554792,0.8793996044473662,0.0017987413363349653,0.5868628105100919,0.629637730095804,0.012226957396310656,0.9419286132371288,0.9455617372012917,0.0010802464377957322,l1,20
l1_K30,0.8800903329769597,0.9455501258422125,0.6239436619718309,0.6264341512267382,0.6357466063348416,0.49072802197802196,0.5939712461451592,0.5113636363636364,0.797067448680352,0.8723739495798319,0.5133333333333333,0.5151515151515151,0.5901654582636178,0.5199468085106383,0.8237431859479104,0.932031352485898,0.6569264069264069,0.7046003016591252,0.5499490316004078,0.6143518518518518,0.5762936753648827,0.6720774028466336,0.5431147302602879,0.5693877551020409,0.518023532612392,0.5535947712418301,0.8766359875424162,0.8833521231901862,0.0020009862316620075,0.6047370967203202,0.6476335778571585,0.014808636587917506,0.9436179876502178,0.9473747727792756,0.0011443555395415574,l1,30
l1_K60,0.8879290041680225,0.9499250713157958,0.6501006036217304,0.6678865235434307,0.6093514328808446,0.557864010989011,0.6490683229813664,0.5151515151515151,0.8129032258064516,0.9012605042016807,0.5546212121212121,0.6127946127946128,0.630879345603272,0.6155015197568389,0.8043609933373713,0.9334579561852289,0.6421356421356421,0.7360859728506788,0.586901121304791,0.5930555555555556,0.627045555064131,0.7354070046377739,0.5637632688672386,0.6885714285714286,0.5919540229885057,0.5764705882352941,0.8839717125636105,0.891555748130145,0.0014726086528559302,0.6448831563778882,0.6887972633776887,0.012588201739169143,0.9475370295011888,0.9519652425369949,0.0007470378899812423,l1,60
l1_K100,0.8947317568779011,0.9536596508283403,0.6633802816901408,0.6960704006814437,0.6116138763197587,0.6059409340659341,0.6829366285888026,0.5340909090909091,0.8375366568914956,0.8897058823529411,0.5727272727272728,0.6750841750841751,0.6261386874883808,0.648936170212766,0.7861901877649909,0.9426734881280335,0.6920995670995671,0.7374057315233786,0.6164627930682977,0.600462962962963,0.6632758366504496,0.7938589477051016,0.6734041006252727,0.6926530612244898,0.6397333877439978,0.5568627450980392,0.890427875282498,0.898760884891306,0.0028552644129845022,0.6741785693282405,0.7160984520217006,0.011127492672819794,0.9511932884602876,0.956021294571487,0.001644731283187728,l1,100
l1_K200,0.9026550944832914,0.9579066018894419,0.6865191146881288,0.7367290571562424,0.6319758672699849,0.6213942307692307,0.7173587282282935,0.5757575757575758,0.906158357771261,0.9128151260504201,0.611439393939394,0.7104377104377104,0.6300892359174568,0.7522796352583586,0.8237431859479104,0.9487734487734488,0.7429653679653679,0.7461538461538462,0.6483180428134556,0.7300925925925926,0.6835102462037447,0.8340796417719495,0.6726770394067181,0.850204081632653,0.7343399306264028,0.6274509803921569,0.8978524806706023,0.9072203324457194,0.0013303661592317583,0.7178770435832982,0.7559721999074642,0.004832100279542068,0.9551720575852921,0.9606916050412938,0.0013755803076894067,l1,200
univariate_K10,0.8871556069087794,0.9495042330495193,0.66579476861167,0.6972086922601602,0.6493212669683258,0.6433722527472527,0.723580767059028,0.6439393939393939,0.7337243401759531,0.7631302521008403,0.5724242424242424,0.8468013468013468,0.665597694738799,0.7830547112462006,0.7631738340399757,0.8301521710612619,0.7003968253968254,0.7142533936651584,0.6684505606523955,0.5328703703703703,0.6094648385670057,0.6093075323844555,0.7099025737967137,0.773061224489796,0.7363803305447868,0.6888888888888889,0.8823154078486319,0.8918087014938919,0.00038808896970383066,0.6745795814248005,0.7184343367787075,0.001488108255655607,0.9461573647474707,0.952615033615238,0.0005246313144590299,univariate,10
univariate_K20,0.8905958302067631,0.9509130419799093,0.6696177062374246,0.7063405907055879,0.6953242835595776,0.648695054945055,0.7077813490856969,0.6287878787878788,0.7202346041055718,0.803046218487395,0.5678787878787879,0.8400673400673401,0.667549730433166,0.7549392097264438,0.8261659600242277,0.8778532073986619,0.6863275613275613,0.7107466063348417,0.6743119266055045,0.5777777777777777,0.6321686569364587,0.6876699184391493,0.7514904754980369,0.8069387755102041,0.6909134190301299,0.6490196078431373,0.8858645326303255,0.8954137171765466,0.0006066876811754343,0.6843380253153174,0.7272392821883686,0.002155587882314826,0.947501487713245,0.9542883655891679,0.0005900769057823185,univariate,20
univariate_K30,0.8928667715866154,0.952586051998283,0.676861167002012,0.7130840457639332,0.6711915535444947,0.6430288461538461,0.7049037918603136,0.6287878787878788,0.7296187683284457,0.8135504201680672,0.579469696969697,0.7828282828282829,0.6736382227179774,0.7593085106382979,0.8643246517262265,0.9017939131575495,0.6883116883116883,0.7137254901960784,0.6651376146788991,0.6050925925925926,0.6530664897537962,0.7092595554134016,0.7594881489021376,0.8293877551020408,0.6814935727402571,0.6287581699346405,0.8878814775340713,0.8975815232428676,0.0010094030376976257,0.6922727231931921,0.7340554181407491,0.0022639923632126364,0.9494118683160142,0.955659827689143,0.0006235300124846637,univariate,30
univariate_K60,0.8966720012041446,0.9542906452220816,0.6806841046277666,0.7256795740064396,0.6613876319758673,0.6306662087912088,0.7101485471050688,0.571969696969697,0.7988269794721408,0.8571428571428571,0.550530303030303,0.7104377104377104,0.6419408812046848,0.7710866261398176,0.8697758933979406,0.9175521448248721,0.7077922077922078,0.7211915535444947,0.6980122324159022,0.6240740740740741,0.6571575998820581,0.8092915400607709,0.8089283117638505,0.8473469387755102,0.7183567979323947,0.6287581699346405,0.8915783369081375,0.9017402849439874,0.0008459639736738662,0.7061448128450377,0.7453601787004936,0.0038157384600920525,0.9511644557340696,0.9573876954812826,0.0004360382435316647,univariate,60
