gene,outer_fold_selection_frequency,in_telomere_panel,univariate_frequency,subsample_selection_frequency
DRG2,0.88,False,0.96,1.0
OR4K3,0.92,False,0.36,0.96
OR4K2,0.84,False,0.0,0.89
SLC6A18,0.48,False,0.0,0.79
DEFB119,0.52,False,0.44,0.63
OR2D2,0.08,False,0.0,0.55
OR52E1,0.08,False,0.0,0.52
H2AC17,0.12,False,0.0,0.51
ZDHHC19,0.24,False,0.0,0.48
DEFB124,0.44,False,0.0,0.44
REM1,0.24,False,0.0,0.42
POU1F1,0.2,False,0.0,0.41
TMEM95,0.16,False,0.0,0.37
SULT6B1,0.28,False,0.0,0.35
OR2A12,0.2,False,0.0,0.34
ANO3,0.12,False,0.0,0.34
PADI6,0.12,False,0.0,0.33
CCDC27,0.28,False,0.0,0.32
TAS2R7,0.24,False,0.0,0.32
OR52B6,0.2,False,0.0,0.32
NUTM2A,0.16,False,0.0,0.31
GALP,0.2,False,0.0,0.29
OR10G7,0.2,False,0.0,0.29
SPATA32,0.2,False,0.0,0.28
ETDB,0.16,False,0.0,0.28
H4C5,0.32,False,0.0,0.27
USP17L23,0.16,False,0.0,0.27
ERVV-1,0.2,False,0.0,0.26
BPIFA3,0.36,False,0.0,0.25
SLC36A3,0.24,False,0.0,0.25
H4C9,0.2,False,0.0,0.25
OR1A2,0.16,False,0.0,0.25
IRX6,0.04,False,0.0,0.25
CT55,0.08,False,0.0,0.24
AQP7B,0.04,False,0.0,0.24
OR4A5,0.32,False,0.0,0.23
RAMACL,0.16,False,0.0,0.23
OR6B3,0.16,False,0.0,0.23
PLA2G2C,0.12,False,0.0,0.23
TAS2R39,0.08,False,0.0,0.23
TNFRSF8,0.2,False,0.0,0.22
CCT8L2,0.2,False,0.0,0.22
CT45A2,0.16,False,0.0,0.22
OPN1LW,0.12,False,0.0,0.22
ZNF80,0.08,False,0.0,0.22
GPR142,0.2,False,0.0,0.21
KRTAP9-2,0.04,False,0.0,0.21
NLRP13,0.2,False,0.0,0.2
KRTAP5-11,0.16,False,0.0,0.2
NPPA,0.08,False,0.0,0.19
CIMIP4,0.04,False,0.0,0.19
CNGB3,0.0,False,0.0,0.19
ANKRD62,0.24,False,0.0,0.18
KRTAP5-10,0.24,False,0.0,0.18
DEFB106A,0.16,False,0.0,0.18
GAGE10,0.12,False,0.0,0.18
LDHAL6B,0.16,False,0.0,0.17
ZNF560,0.12,False,0.0,0.17
FAM90A20,0.12,False,0.0,0.17
SPATA45,0.12,False,0.0,0.17
OR4N2,0.12,False,0.04,0.17
OR1R1,0.12,False,0.0,0.17
OR10A6,0.08,False,0.0,0.17
INSL6,0.04,False,0.0,0.17
LRRC9,0.0,False,0.0,0.17
OR52D1,0.16,False,0.0,0.16
MYO18B,0.12,False,0.0,0.16
OR13C7,0.08,False,0.0,0.16
