model,task,AUROC,AUPRC,Sens@Spec90,within_AUROC,AUROC[ACC],AUROC[BLCA],AUROC[BRCA],AUROC[CHOL],AUROC[ESCA],AUROC[GBM],AUROC[HNSC],AUROC[KICH],AUROC[KIRC],AUROC[KIRP],AUROC[LAML],AUROC[LGG],AUROC[LIHC],AUROC[LUAD],AUROC[PAAD],AUROC[PCPG],AUROC[PRAD],AUROC[SARC],AUROC[SKCM],AUROC[STAD],AUROC[THCA],AUROC[UVM],AUROC_lo,AUROC_hi,AUROC_rep_sd,within_AUROC_lo,within_AUROC_hi,within_AUROC_rep_sd,AUPRC_lo,AUPRC_hi,AUPRC_rep_sd,dAUROC_vs_ref,dAUROC_vs_ref_lo,dAUROC_vs_ref_hi,pAUROC_vs_ref,dAUROC_vs_ref_lo90,dAUROC_vs_ref_hi90,equivalentAUROC_vs_ref,dwithin_AUROC_vs_ref,dwithin_AUROC_vs_ref_lo,dwithin_AUROC_vs_ref_hi,pwithin_AUROC_vs_ref,dwithin_AUROC_vs_ref_lo90,dwithin_AUROC_vs_ref_hi90,equivalentwithin_AUROC_vs_ref,dAUPRC_vs_ref,dAUPRC_vs_ref_lo,dAUPRC_vs_ref_hi,pAUPRC_vs_ref,dAUPRC_vs_ref_lo90,dAUPRC_vs_ref_hi90,equivalentAUPRC_vs_ref,n,n_pos,seconds
Cancer type only,tel,0.8556535029760521,0.9330479840507915,0.5800804828973843,0.4698434862498692,0.42684766214177977,0.38890796703296704,0.49068865916692006,0.3712121212121212,0.37771260997067446,0.5015756302521008,0.5093560606060606,0.3451178451178451,0.4864519427402863,0.4610562310030395,0.4003634161114476,0.4915469631378722,0.4569805194805195,0.49366515837104075,0.458460754332314,0.5078703703703704,0.4796734483266991,0.4894050855589317,0.4345644903300858,0.4910204081632653,0.4750561109977556,0.46339869281045754,0.8548422839014284,0.8565203362640087,6.305344271360905e-05,0.44899510798244957,0.4929356198018172,6.43765976035565e-05,0.9325649316441869,0.933669007513504,0.00017517033906968118,,,,,,,,,,,,,,,,,,,,,,6788,4970,0.6876463890075684
LR (panel),tel,0.8922613790554106,0.9521305631747574,0.6605633802816901,0.7113300298885231,0.7413273001508296,0.5777815934065934,0.6890066455283846,0.5984848484848485,0.7988269794721408,0.6980042016806722,0.6289393939393939,0.7390572390572391,0.6649470161740101,0.8396656534954408,0.7734706238643246,0.8769021382657747,0.7595598845598845,0.7161387631975867,0.6406727828746177,0.549074074074074,0.6468745392894,0.7541979849672157,0.6540642722117203,0.8355102040816327,0.7596748962796708,0.7483660130718954,0.8870219501829458,0.8971955246329462,0.0005841497178082358,0.6888471010217155,0.7320667123281872,0.0036675454609598466,0.948975075145869,0.9550731096380621,0.0004429943387887959,0.03655803246320608,0.03138418934951841,0.041563820491707114,0.0,0.03232572553029955,0.040748871667850795,False,0.2412689730303304,0.2112845152684241,0.27118827640407595,0.0,0.2150918686247841,0.26603627951722486,False,0.019013681026134512,0.01590508973750076,0.022028210257628567,0.0,0.01641162147858232,0.02165116234026369,False,6788,4970,49.60555052757263
Elastic net (panel),tel,0.8922013931775471,0.9520495524028725,0.6561368209255534,0.7113198129580206,0.7375565610859729,0.5807005494505495,0.6902553967771359,0.6098484848484849,0.7941348973607039,0.6974789915966386,0.6328787878787879,0.7222222222222222,0.6654582636177728,0.8377659574468085,0.7710478497880072,0.875590318772137,0.7597402597402597,0.7157239819004525,0.6439857288481141,0.5509259259259259,0.6459162612413386,0.75227890612506,0.6549367456739857,0.8322448979591837,0.759436849622526,0.7470588235294118,0.8868809446336988,0.8973044288835322,0.0007943117008864154,0.688738812299002,0.7311636518679455,0.0032932486397741923,0.9489042151839977,0.9550835829467857,0.0005305136201403271,0.03650499144481852,0.031215575908697453,0.04153144942260827,0.0,0.03226423170486069,0.0407481024762436,False,0.24126472104009042,0.21116919930177272,0.27077302681623683,0.0,0.21515180033940817,0.2665720187206388,False,0.018935046278276784,0.015751602861445852,0.022014514819152575,0.0,0.01626084654462533,0.02154985988602636,False,6788,4970,384.4693245887756
RF (panel),tel,0.8877082074404623,0.9498016490541679,0.6525150905432595,0.7164635896052558,0.6478129713423831,0.6112637362637363,0.7004517221908526,0.6628787878787878,0.839882697947214,0.6685924369747899,0.5728787878787879,0.7609427609427609,0.6393381669455289,0.8050911854103343,0.8558449424591157,0.8748688180506362,0.7503607503607503,0.6977752639517345,0.6572375127420998,0.5708333333333333,0.6867905056759546,0.7928994082840237,0.7658862876254181,0.7457142857142857,0.7789566755083996,0.692156862745098,0.8824992723115369,0.8930446927992598,0.0007114602417134066,0.6941172574717946,0.7374768532433623,0.003346658931129335,0.9465550879817188,0.9530878491473224,0.00046954765965933785,0.03211775825469872,0.026692828865381484,0.03756033312083728,0.0,0.02749785290400269,0.03658613673238549,False,0.24699572354578544,0.21631807909246967,0.27770908458014837,0.0,0.22031033332658279,0.27344159840946475,False,0.016740642577710182,0.013454221798221502,0.019954077919321404,0.0,0.014004535378399874,0.019378319199396043,True,6788,4970,166.52731895446777
GBM (panel),tel,0.8948392223528188,0.9524007466805775,0.6742454728370222,0.7230015887811314,0.6779788838612368,0.5703983516483516,0.6999196455718195,0.6856060606060606,0.8181818181818182,0.6460084033613446,0.651439393939394,0.7676767676767676,0.6750790109685815,0.8134498480243161,0.8461538461538461,0.902089072543618,0.7435064935064936,0.7118024132730015,0.6585117227319062,0.5314814814814814,0.7061772077251953,0.7788261634415481,0.7302602879162425,0.7640816326530612,0.7727674624226348,0.7209150326797386,0.889076546739181,0.9002312914893099,0.0007553291198774454,0.6996219239708398,0.7456391329799593,0.004310748734035211,0.9488650331356153,0.9557541148665983,0.000729528152410953,0.039197104629980106,0.0334170659269146,0.044568244173511885,0.0,0.03418726882748633,0.04360385636149132,False,0.25330109704029685,0.22373080284811575,0.2838513698699792,0.0,0.22787651996219144,0.27915607142658944,False,0.01930887106701841,0.01587831719118017,0.02262922897445314,0.0,0.016418454813672774,0.02220145032091076,False,6788,4970,26.590179920196533
MLP (panel),tel,0.8987456089673354,0.9550183769581002,0.6784708249496982,0.7345108943929061,0.7262443438914027,0.6414835164835165,0.6993332754202319,0.6666666666666666,0.8035190615835777,0.6790966386554622,0.6187878787878788,0.765993265993266,0.6477040342071017,0.8269376899696048,0.7934585099939431,0.9247015610651974,0.7788600288600288,0.6895550527903469,0.6982670744138634,0.5837962962962963,0.7303184431667403,0.8083320006396929,0.6994328922495274,0.8383673469387755,0.8034074678637013,0.7751633986928105,0.8934348251223512,0.9041340285940063,0.0023921414313824254,0.7130023823887932,0.7553971473034089,0.006462986402294028,0.9518823799708495,0.9581453324155105,0.0013238674526050815,0.0431504238854469,0.037627256940985836,0.04867018945355305,0.0,0.03850376461187374,0.047696915818342414,False,0.2648198438854723,0.2344535309710915,0.29447250509870815,0.0,0.23968723977043022,0.2904864171761419,False,0.021945358903920867,0.018775027309389715,0.02521167539413463,0.0,0.019272824414504397,0.02452649556722486,False,6788,4970,75.42430996894836
Linear SVM (panel),tel,0.8920322816989948,0.95167825328571,0.6567404426559356,0.7110401518024161,0.7360482654600302,0.5851648351648352,0.6902771141901577,0.6136363636363636,0.7806451612903226,0.6917016806722689,0.6226515151515152,0.7457912457912458,0.6641104294478528,0.8400455927051672,0.7777104784978801,0.8745572609208973,0.7673160173160173,0.7176470588235294,0.6427115188583078,0.5541666666666667,0.6432625681851688,0.7486006716775948,0.6520285007997674,0.8273469387755102,0.7670543426511597,0.7568627450980392,0.886962027943237,0.8969554317101731,0.000919420687078122,0.6886826832913115,0.7319065325117211,0.0033349976723011207,0.9483630002198115,0.9547194238428173,0.0005742251389606939,0.03633022192561309,0.031220586721649998,0.04124731336312712,0.0,0.032170293488101284,0.040511545621363027,False,0.24100894272475928,0.21114779737624598,0.27077207853666857,0.0,0.21474715803337513,0.2660631878385904,False,0.01855941149024778,0.015340161599006202,0.02168822404948355,0.0,0.015848866401904676,0.021148754963562364,False,6788,4970,22.178589344024655
MLP tuned (panel),tel,0.900522275567597,0.9557047564554606,0.6879275653923541,0.7342913978452714,0.7111613876319759,0.6341002747252747,0.7029818008078877,0.6628787878787878,0.8041055718475073,0.6985294117647058,0.6118939393939394,0.7777777777777778,0.6511898122327571,0.8389057750759878,0.8025439127801333,0.9239636626000263,0.7810245310245311,0.6977375565610859,0.6939347604485219,0.5791666666666667,0.7280333185905942,0.8067327682712299,0.6869274392903882,0.8297959183673469,0.8001768346595933,0.7993464052287582,0.8956685713843014,0.905650561786561,0.0012829639254815137,0.7126977745005932,0.7553335389645541,0.00484469849610842,0.9526562471117161,0.9587410593332795,0.0008480636988197935,0.04492734592372718,0.039738144211805465,0.04996406657768393,0.0,0.04064042395185193,0.049264268227627576,False,0.26453784285812676,0.23309923181238543,0.2956464129583727,0.0,0.23906908522660936,0.29035748148773877,False,0.02262849894663101,0.019627516120028422,0.025792263967275308,0.0,0.020075509629859663,0.02516964432303913,False,6788,4970,601.1068089008331
Barthel 2017 score (published),tel,0.7776089983243797,0.9007438206323445,0.4798792756539235,0.6138545105028831,0.5746606334841629,0.5922046703296703,0.6135386352777658,0.6401515151515151,0.8457478005865102,0.5745798319327731,0.6492424242424243,0.5993265993265994,0.49456218627997767,0.611322188449848,0.6856450635978195,0.5512265512265512,0.7148268398268398,0.5104072398190045,0.48674821610601426,0.7134259259259259,0.5152218782249742,0.6045098352790661,0.6530463865057438,0.7159183673469388,0.7165544446711556,0.74640522875817,0.7689092392639666,0.7855447010998886,0.0,0.5928785681845152,0.6343110250365553,0.0,0.8959800564581804,0.9055717669111564,1.1102230246251565e-16,-0.07812193291763783,-0.08664886596808577,-0.07013690088827797,0.0,-0.08489593501603679,-0.07126931556334709,False,0.14395874521705934,0.11464254190200399,0.1729426152873877,0.0,0.11951536591511751,0.1680693231677279,False,-0.032352037955824274,-0.03701212886979664,-0.027372484304291546,0.0,-0.03628328315765771,-0.02812582027124099,False,6788,4970,0.0754692554473877
LR (Barthel 2017 genes),tel,0.8884023613628969,0.9512328039753659,0.6639839034205232,0.71061960813005,0.6772247360482655,0.5573489010989011,0.6864657082048387,0.678030303030303,0.9284457478005865,0.7626050420168067,0.6103787878787879,0.7643097643097643,0.6399888455103179,0.8333966565349544,0.8588734100545125,0.8333661288206743,0.737914862914863,0.7008295625942684,0.7275739041794088,0.6425925925925926,0.6725637623470441,0.6890292659523429,0.6688963210702341,0.8436734693877551,0.735632183908046,0.6823529411764706,0.8831541531919791,0.8932275777879599,0.00043216831012645135,0.6906965042624376,0.7297303104305214,0.001969552581616303,0.948174617761195,0.954025155406445,0.0001942620103043853,0.03261490660132412,0.02750972972045696,0.037676009301131394,0.0,0.028284824458301012,0.03694439187379498,False,0.2403062346910181,0.21221359584229682,0.26958975865726204,0.0,0.21581545540548275,0.264500837670836,False,0.01804521977127623,0.015009745414192168,0.020786232658399382,0.0,0.01564971793930825,0.020508390560855745,False,6788,4970,18.217814445495605
