task,model_a,model_b,metric,a,b,diff,lo,hi,p,lo90,hi90,equivalent
tl,RF (panel),LR (panel),Spearman,0.32368027255180803,0.30385115016291964,0.020443085598017215,-0.019030672729034262,0.057918691140189896,0.284,-0.013098030307486307,0.052078908553892196,False
tl,RF (panel),LR (panel),within_Spearman,0.18320463450316904,0.12213174597774419,0.06130139520119384,0.010060736385746253,0.11364151769025303,0.026,0.01582297104979438,0.10643120229823767,False
tl,RF (panel),LR (panel),R2,0.11638356011636442,0.10015177571853073,0.016856043188299336,-0.010785788811860772,0.04340394938457302,0.22,-0.005594989106378106,0.037565542575724774,False
tl,GBM (panel),LR (panel),Spearman,0.32180789722390224,0.30385115016291964,0.01876471941767371,-0.022409296506244434,0.05718511618767057,0.33,-0.015296653706656081,0.05069224191325486,False
tl,GBM (panel),LR (panel),within_Spearman,0.18255847970736216,0.12213174597774419,0.06022640852350796,0.00795478620696641,0.11104903334404138,0.028,0.017928158528481227,0.1032003472011995,False
tl,GBM (panel),LR (panel),R2,0.12682959565008867,0.10015177571853073,0.027263212235108455,-0.0004859675105627038,0.0536449844823463,0.052,0.00354497769566215,0.049328349155673065,False
tl,MLP (panel),LR (panel),Spearman,0.31025339874970154,0.30385115016291964,0.0064356156512006294,-0.019213985167192027,0.0326149052468218,0.61,-0.015697101286375158,0.028654052901059355,False
tl,MLP (panel),LR (panel),within_Spearman,0.1417865771398281,0.12213174597774419,0.01997277129325219,-0.018432898783526306,0.06008562423402805,0.292,-0.012736031527225791,0.053434879187263945,False
tl,MLP (panel),LR (panel),R2,0.11257095817090756,0.10015177571853073,0.012832110288087388,-0.0078880534570277,0.03386309409666942,0.216,-0.0038686431032102894,0.03003917674956505,False
tl,Elastic net (panel),LR (panel),Spearman,-0.08429909085059085,0.30385115016291964,-0.38708781392575725,-0.4532413418273681,-0.32953278194004276,0.0,-0.4411673276146874,-0.33616649300142876,False
tl,Elastic net (panel),LR (panel),within_Spearman,-0.0880447653597673,0.12213174597774419,-0.2069365182707366,-0.2756717608383176,-0.13739352221961146,0.0,-0.26250892105786305,-0.14931289251328833,False
tl,Elastic net (panel),LR (panel),R2,-0.0009525431079626667,0.10015177571853073,-0.10041219518353389,-0.1348016140454028,-0.06701080436621214,0.0,-0.12913418519654263,-0.07103501794264455,False
